,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Lars Bildsten. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,200,pub.1090737874,10.3847/1538-4357/aa79a6,,,Accretion-induced Collapse from Helium Star + White Dwarf Binaries,The Astrophysical Journal,,,7/14/17,2017,843,2,151,All OA; Gold,Article,"Brooks, Jared; Schwab, Josiah; Bildsten, Lars; Quataert, Eliot; Paxton, Bill",,"Brooks, Jared (); Schwab, Josiah (); Bildsten, Lars (); Quataert, Eliot (); Paxton, Bill ()",17,15,,6.84,http://iopscience.iop.org/article/10.3847/1538-4357/aa79a6/pdf,https://app.dimensions.ai/details/publication/pub.1090737874,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
25,200,pub.1090551701,10.3847/1538-4357/aa77b0,,,The Effects of Magnetic Fields on the Dynamics of Radiation Pressure–dominated Massive Star Envelopes,The Astrophysical Journal,,,7/5/17,2017,843,1,68,All OA; Gold,Article,"Jiang, Yan-Fei; Cantiello, Matteo; Bildsten, Lars; Quataert, Eliot; Blaes, Omer",,"Jiang, Yan-Fei (); Cantiello, Matteo (); Bildsten, Lars (); Quataert, Eliot (); Blaes, Omer ()",6,6,,2.41,https://iopscience.iop.org/article/10.3847/1538-4357/aa77b0/pdf,https://app.dimensions.ai/details/publication/pub.1090551701,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
26,100,pub.1118832493,,,,Accretion-Induced Collapse From Helium Star + White Dwarf Binaries,arXiv,,,6/12/17,2017,,,,"All OA; Green, Accepted & Submitted",Preprint,"Brooks, Jared; Schwab, Josiah; Bildsten, Lars; Quataert, Eliot; Paxton, Bill",,"Brooks, Jared (); Schwab, Josiah (); Bildsten, Lars (); Quataert, Eliot (); Paxton, Bill ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118832493,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
27,200,pub.1101691606,10.22323/1.255.0032,,,A large HST program: effective temperatures of cataclysmic variable white dwarfs,,Proceedings of The Golden Age of Cataclysmic Variables and Related Objects - III — PoS(Golden2015),,3/29/17,2017,,,32,All OA; Gold,Proceeding,"Pala, Anna Francesca; Gaensicke, Boris; Beuermann, Klaus; Bildsten, Lars; de Martino, Domitilla; Godon, Patrick; Henden, Arne; Hubeny, Ivan; Knigge, Christian; Long, Knox; Marsh, Tom; Patterson, Joseph; Schreiber, Matthias R.; Sion, Edward; Szkody, Paula; Townsley, Dean; Zorotovic, Monica",,"Pala, Anna Francesca (); Gaensicke, Boris (); Beuermann, Klaus (); Bildsten, Lars (); de Martino, Domitilla (); Godon, Patrick (); Henden, Arne (); Hubeny, Ivan (); Knigge, Christian (); Long, Knox (); Marsh, Tom (); Patterson, Joseph (); Schreiber, Matthias R. (); Sion, Edward (); Szkody, Paula (); Townsley, Dean (); Zorotovic, Monica ()",0,0,,,https://pos.sissa.it/255/032/pdf,https://app.dimensions.ai/details/publication/pub.1101691606,,,,,,
28,200,pub.1087286367,10.3847/1538-4357/835/2/131,,,PTF1 J082340.04+081936.5: A Hot Subdwarf B Star with a Low-mass White Dwarf Companion in an 87-minute Orbit,The Astrophysical Journal,,,1/23/17,2017,835,2,131,All OA; Gold,Article,"Kupfer, Thomas; Roestel, Jan van; Brooks, Jared; Geier, Stephan; Marsh, Tom R.; Groot, Paul J.; Bloemen, Steven; Prince, Thomas A.; Bellm, Eric; Heber, Ulrich; Bildsten, Lars; Miller, Adam A.; Dyer, Martin J.; Dhillon, Vik S.; Green, Matthew; Irawati, Puji; Laher, Russ; Littlefair, Stuart P.; Shupe, David L.; Steidel, Charles C.; Rattansoon, Somsawat; Pettini, Max",,"Kupfer, Thomas (); Roestel, Jan van (); Brooks, Jared (); Geier, Stephan (); Marsh, Tom R. (); Groot, Paul J. (); Bloemen, Steven (); Prince, Thomas A. (); Bellm, Eric (); Heber, Ulrich (); Bildsten, Lars (); Miller, Adam A. (); Dyer, Martin J. (); Dhillon, Vik S. (); Green, Matthew (); Irawati, Puji (); Laher, Russ (); Littlefair, Stuart P. (); Shupe, David L. (); Steidel, Charles C. (); Rattansoon, Somsawat (); Pettini, Max ()",6,3,,2.41,http://iopscience.iop.org/article/10.3847/1538-4357/835/2/131/pdf,https://app.dimensions.ai/details/publication/pub.1087286367,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
29,200,pub.1071475601,10.3847/2041-8213/834/2/l9,,,Convection Destroys the Core/Mantle Structure in Hybrid C/O/Ne White Dwarfs,The Astrophysical Journal Letters,,,1/9/17,2017,834,2,l9,All OA; Gold,Article,"Brooks, Jared; Schwab, Josiah; Bildsten, Lars; Quataert, Eliot; Paxton, Bill",,"Brooks, Jared (); Schwab, Josiah (); Bildsten, Lars (); Quataert, Eliot (); Paxton, Bill ()",18,10,,7.94,http://iopscience.iop.org/article/10.3847/2041-8213/834/2/L9/pdf,https://app.dimensions.ai/details/publication/pub.1071475601,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
30,100,pub.1118775454,,,,"The Effects of Magnetic Fields on the Dynamics of Radiation Pressure
  Dominated Massive Star Envelopes",arXiv,,,12/19/16,2016,,,,"All OA; Green, Accepted & Submitted",Preprint,"Jiang, Yan-Fei; Cantiello, Matteo; Bildsten, Lars; Quataert, Eliot; Blaes, Omer",,"Jiang, Yan-Fei (); Cantiello, Matteo (); Bildsten, Lars (); Quataert, Eliot (); Blaes, Omer ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118775454,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
31,100,pub.1118736863,,,,"PTF1 J082340.04+081936.5: A hot subdwarf B star with a low mass white
  dwarf companion in an 87 minute orbit",arXiv,,,12/6/16,2016,,,,"All OA; Green, Accepted & Submitted",Preprint,"Kupfer, Thomas; van Roestel, Jan; Brooks, Jared; Geier, Stephan; Marsh, Tom R.; Groot, Paul J.; Bloemen, Steven; Prince, Thomas A.; Bellm, Eric; Heber, Ulrich; Bildsten, Lars; Miller, Adam A.; Dyer, Martin J.; Dhillon, Vik S.; Green, Matthew; Irawati, Puji; Laher, Russ; Littlefair, Stuart P.; Shupe, David L.; Steidel, Charles C.; Rattansoon, Somsawat; Pettini, Max",,"Kupfer, Thomas (California Institute of Technology); van Roestel, Jan (Radboud University Nijmegen); Brooks, Jared (University of California, Santa Barbara); Geier, Stephan (University of Tübingen); Marsh, Tom R. (University of Warwick); Groot, Paul J. (Radboud University Nijmegen); Bloemen, Steven (Radboud University Nijmegen); Prince, Thomas A. (California Institute of Technology); Bellm, Eric (California Institute of Technology); Heber, Ulrich (University of Erlangen-Nuremberg); Bildsten, Lars (University of California, Santa Barbara); Miller, Adam A. (Northwestern University); Dyer, Martin J. (University of Sheffield); Dhillon, Vik S. (University of Sheffield); Green, Matthew (University of Warwick); Irawati, Puji (National Astronomical Research Institute of Thailand); Laher, Russ (); Littlefair, Stuart P. (University of Sheffield); Shupe, David L. (); Steidel, Charles C. (California Institute of Technology); Rattansoon, Somsawat (University of Sheffield; National Astronomical Research Institute of Thailand); Pettini, Max (University of Cambridge)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118736863,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
32,200,pub.1071474138,10.3847/0004-637x/832/1/71,,,TURBULENT CHEMICAL DIFFUSION IN CONVECTIVELY BOUNDED CARBON FLAMES,The Astrophysical Journal,,,11/18/16,2016,832,1,71,All OA; Gold,Article,"Lecoanet, Daniel; Schwab, Josiah; Quataert, Eliot; Bildsten, Lars; Timmes, F. X.; Burns, Keaton J.; Vasil, Geoffrey M.; Oishi, Jeffrey S.; Brown, Benjamin P.",,"Lecoanet, Daniel (); Schwab, Josiah (); Quataert, Eliot (); Bildsten, Lars (); Timmes, F. X. (); Burns, Keaton J. (); Vasil, Geoffrey M. (); Oishi, Jeffrey S. (); Brown, Benjamin P. ()",23,13,,7.18,http://iopscience.iop.org/article/10.3847/0004-637X/832/1/71/pdf,https://app.dimensions.ai/details/publication/pub.1071474138,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
33,100,pub.1118737095,,,,"Convection Destroys the Core/Mantle Structure in Hybrid C/O/Ne White
  Dwarfs",arXiv,,,11/9/16,2016,,,,"All OA; Green, Accepted & Submitted",Preprint,"Brooks, Jared; Schwab, Josiah; Bildsten, Lars; Quataert, Eliot; Paxton, Bill",,"Brooks, Jared (); Schwab, Josiah (); Bildsten, Lars (); Quataert, Eliot (); Paxton, Bill ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118737095,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
34,200,pub.1059919479,10.1093/mnras/stw1320,,,Late-time spectroscopy of Type Iax Supernovae,Monthly Notices of the Royal Astronomical Society,,,9/1/16,2016,461,1,433-457,All OA; Gold,Article,"Foley, Ryan J.; Jha, Saurabh W.; Pan, Yen-Chen; Zheng, WeiKang; Bildsten, Lars; Filippenko, Alexei V.; Kasen, Daniel",,"Foley, Ryan J. (); Jha, Saurabh W. (); Pan, Yen-Chen (); Zheng, WeiKang (); Bildsten, Lars (); Filippenko, Alexei V. (); Kasen, Daniel ()",23,13,,7.95,https://academic.oup.com/mnras/article-pdf/461/1/433/13485727/stw1320.pdf,https://app.dimensions.ai/details/publication/pub.1059919479,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
35,200,pub.1059922211,10.1093/mnras/stw870,,,The diversity of Type II supernova versus the similarity in their progenitors,Monthly Notices of the Royal Astronomical Society,,,7/11/16,2016,459,4,3939-3962,"All OA; Green, Published",Article,"Valenti, S.; Howell, D. A.; Stritzinger, M. D.; Graham, M. L.; Hosseinzadeh, G.; Arcavi, I.; Bildsten, L.; Jerkstrand, A.; McCully, C.; Pastorello, A.; Piro, A. L.; Sand, D.; Smartt, S. J.; Terreran, G.; Baltay, C.; Benetti, S.; Brown, P.; Filippenko, A. V.; Fraser, M.; Rabinowitz, D.; Sullivan, M.; Yuan, F.",,"Valenti, S. (); Howell, D. A. (); Stritzinger, M. D. (); Graham, M. L. (); Hosseinzadeh, G. (); Arcavi, I. (); Bildsten, L. (); Jerkstrand, A. (); McCully, C. (); Pastorello, A. (); Piro, A. L. (); Sand, D. (); Smartt, S. J. (); Terreran, G. (); Baltay, C. (); Benetti, S. (); Brown, P. (); Filippenko, A. V. (); Fraser, M. (); Rabinowitz, D. (); Sullivan, M. (); Yuan, F. ()",92,58,,31.81,https://pure.au.dk/ws/files/121623623/The_diversity_of_Type_II_supernova_versus_the_similarity_in_their_progenitors.pdf,https://app.dimensions.ai/details/publication/pub.1059922211,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
36,200,pub.1059922180,10.1093/mnras/stw838,,,GW Librae: a unique laboratory for pulsations in an accreting white dwarf,Monthly Notices of the Royal Astronomical Society,,,7/11/16,2016,459,4,3929-3938,"All OA; Green, Published",Article,"Toloza, O.; Gänsicke, B. T.; Hermes, J. J.; Townsley, D. M.; Schreiber, M. R.; Szkody, P.; Pala, A.; Beuermann, K.; Bildsten, L.; Breedt, E.; Cook, M.; Godon, P.; Henden, A. A.; Hubeny, I.; Knigge, C.; Long, K. S.; Marsh, T. R.; de Martino, D.; Mukadam, A. S.; Myers, G.; Nelson, P.; Oksanen, A.; Patterson, J.; Sion, E. M.; Zorotovic, M.",,"Toloza, O. (); Gänsicke, B. T. (); Hermes, J. J. (); Townsley, D. M. (); Schreiber, M. R. (); Szkody, P. (); Pala, A. (); Beuermann, K. (); Bildsten, L. (); Breedt, E. (); Cook, M. (); Godon, P. (); Henden, A. A. (); Hubeny, I. (); Knigge, C. (); Long, K. S. (); Marsh, T. R. (); de Martino, D. (); Mukadam, A. S. (); Myers, G. (); Nelson, P. (); Oksanen, A. (); Patterson, J. (); Sion, E. M. (); Zorotovic, M. ()",8,5,,2.77,http://wrap.warwick.ac.uk/78456/9/WRAP_2016MNRAS.459.3929T.pdf,https://app.dimensions.ai/details/publication/pub.1059922180,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
37,200,pub.1071472774,10.3847/0004-637x/824/1/14,,,ASTEROSEISMIC SIGNATURES OF EVOLVING INTERNAL STELLAR MAGNETIC FIELDS,The Astrophysical Journal,,,6/3/16,2016,824,1,14,All OA; Gold,Article,"Cantiello, Matteo; Fuller, Jim; Bildsten, Lars",,"Cantiello, Matteo (); Fuller, Jim (); Bildsten, Lars ()",17,7,,5.31,http://iopscience.iop.org/article/10.3847/0004-637X/824/1/14/pdf,https://app.dimensions.ai/details/publication/pub.1071472774,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
38,200,pub.1003645596,10.1093/mnras/stw560,,,Erratum: Thermal runaway during the evolution of ONeMg cores towards accretion-induced collapse,Monthly Notices of the Royal Astronomical Society,,,6/1/16,2016,458,4,3613-3613,Closed,Article,"Schwab, Josiah; Quataert, Eliot; Bildsten, Lars",,"Schwab, Josiah (University of California, Berkeley); Quataert, Eliot (University of California, Berkeley); Bildsten, Lars (University of California, Santa Barbara)",2,1,,0.69,,https://app.dimensions.ai/details/publication/pub.1003645596,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
39,100,pub.1118698218,,,,"GW Librae: A unique laboratory for pulsations in an accreting white
  dwarf",arXiv,,,4/7/16,2016,,,,"All OA; Green, Accepted & Submitted",Preprint,"Toloza, O.; Gaensicke, B. T.; Hermes, J. J.; Townsley, D. M.; Schreiber, M. R.; Szkody, P.; Pala, A.; Beuermann, K.; Bildsten, L.; Breedt, E.; Cook, M.; Godon, P.; Henden, A. A.; Hubeny, I.; Knigge, C.; Long, K. S.; Marsh, T. R.; de Martino, D.; Mukadam, A. S.; Myers, G.; Nelson, P.; Oksanen, A.; Patterson, J.; Sion, E. M.; Zorotovic, M.",,"Toloza, O. (); Gaensicke, B. T. (); Hermes, J. J. (); Townsley, D. M. (); Schreiber, M. R. (); Szkody, P. (); Pala, A. (); Beuermann, K. (); Bildsten, L. (); Breedt, E. (); Cook, M. (); Godon, P. (); Henden, A. A. (); Hubeny, I. (); Knigge, C. (); Long, K. S. (); Marsh, T. R. (); de Martino, D. (); Mukadam, A. S. (); Myers, G. (); Nelson, P. (); Oksanen, A. (); Patterson, J. (); Sion, E. M. (); Zorotovic, M. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118698218,0201 Astronomical and Space Sciences; 02 Physical Sciences,0201 Astronomical and Space Sciences,02 Physical Sciences,,,
40,200,pub.1071472387,10.3847/0004-637x/821/1/36,,,MAGNETAR-DRIVEN SHOCK BREAKOUT AND DOUBLE-PEAKED SUPERNOVA LIGHT CURVES,The Astrophysical Journal,,,4/6/16,2016,821,1,36,All OA; Gold,Article,"Kasen, Daniel; Metzger, Brian D.; Bildsten, Lars",,"Kasen, Daniel (); Metzger, Brian D. (); Bildsten, Lars ()",49,22,,15.3,http://iopscience.iop.org/article/10.3847/0004-637X/821/1/36/pdf,https://app.dimensions.ai/details/publication/pub.1071472387,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
41,200,pub.1071472378,10.3847/0004-637x/821/1/28,,,CARBON SHELL OR CORE IGNITIONS IN WHITE DWARFS ACCRETING FROM HELIUM STARS,The Astrophysical Journal,,,4/5/16,2016,821,1,28,All OA; Gold,Article,"Brooks, Jared; Bildsten, Lars; Schwab, Josiah; Paxton, Bill",,"Brooks, Jared (); Bildsten, Lars (); Schwab, Josiah (); Paxton, Bill ()",27,16,,8.43,http://iopscience.iop.org/article/10.3847/0004-637X/821/1/28/pdf,https://app.dimensions.ai/details/publication/pub.1071472378,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
42,200,pub.1071474343,10.3847/0067-0049/223/1/18,,,"ERRATUM: “MODULES FOR EXPERIMENTS IN STELLAR ASTROPHYSICS (MESA): BINARIES, PULSATIONS, AND EXPLOSIONS” (2015, ApJS, 220, 15)",The Astrophysical Journal Supplement Series,,,3/30/16,2016,223,1,18,All OA; Gold,Article,"Paxton, Bill; Marchant, Pablo; Schwab, Josiah; Bauer, Evan B.; Bildsten, Lars; Cantiello, Matteo; Dessart, Luc; Farmer, R.; Hu, H.; Langer, N.; Townsend, R. H. D.; Townsley, Dean M.; Timmes, F. X.",,"Paxton, Bill (); Marchant, Pablo (); Schwab, Josiah (); Bauer, Evan B. (); Bildsten, Lars (); Cantiello, Matteo (); Dessart, Luc (); Farmer, R. (); Hu, H. (); Langer, N. (); Townsend, R. H. D. (); Townsley, Dean M. (); Timmes, F. X. ()",9,4,,2.81,http://iopscience.iop.org/article/10.3847/0067-0049/223/1/18/pdf,https://app.dimensions.ai/details/publication/pub.1071474343,"0306 Physical Chemistry (incl. Structural); 0201 Astronomical and Space Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics; 02 Physical Sciences; 03 Chemical Sciences",0306 Physical Chemistry (incl. Structural),0201 Astronomical and Space Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,03 Chemical Sciences
43,100,pub.1118768267,,,,"The diversity of Type II supernova versus the similarity in their
  progenitors",arXiv,,,3/29/16,2016,,,,"All OA; Green, Accepted & Submitted",Preprint,"Valenti, S.; Howell, D. A.; Stritzinger, M. D.; Graham, M. L.; Hosseinzadeh, G.; Arcavi, I.; Bildsten, L.; Jerkstrand, A.; McCully, C.; Pastorello, A.; Piro, A. L.; Sand, D.; Smartt, S. J.; Terreran, G.; Baltay, C.; Benetti, S.; Brown, P.; Filippenko, A. V.; Fraser, M.; Rabinowitz, D.; Sullivan, M.; Yuan, F.",,"Valenti, S. (University of California, Davis); Howell, D. A. (); Stritzinger, M. D. (); Graham, M. L. (); Hosseinzadeh, G. (); Arcavi, I. (); Bildsten, L. (); Jerkstrand, A. (); McCully, C. (); Pastorello, A. (); Piro, A. L. (); Sand, D. (); Smartt, S. J. (); Terreran, G. (); Baltay, C. (); Benetti, S. (); Brown, P. (); Filippenko, A. V. (); Fraser, M. (); Rabinowitz, D. (); Sullivan, M. (); Yuan, F. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118768267,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
