,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Jacob N Israelachvili. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,200,pub.1083875375,10.1021/acs.jpcc.7b00003,,,Simple-to-Apply Wetting Model to Predict Thermodynamically Stable and Metastable Contact Angles on Textured/Rough/Patterned Surfaces,The Journal of Physical Chemistry C,,,3/16/17,2017,121,10,5642-5656,"All OA; Green, Accepted & Submitted",Article,"Kaufman, Yair; Chen, Szu-Ying; Mishra, Himanshu; Schrader, Alex M.; Lee, Dong Woog; Das, Saurabh; Donaldson, Stephen H.; Israelachvili, Jacob N.",,"Kaufman, Yair (Ben-Gurion University of the Negev); Chen, Szu-Ying (); Mishra, Himanshu (King Abdullah University of Science and Technology); Schrader, Alex M. (); Lee, Dong Woog (Ulsan National Institute of Science and Technology); Das, Saurabh (); Donaldson, Stephen H. (French National Centre for Scientific Research); Israelachvili, Jacob N. ()",14,13,,,https://repository.kaust.edu.sa/bitstream/10754/623909/1/Kaufman_Wetting%20theory_2017.jpcc.pdf,https://app.dimensions.ai/details/publication/pub.1083875375,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
28,500,pub.1092708207,10.1039/c7sm01915g,29192930,PMC5744669,Simple peptide coacervates adapted for rapid pressure-sensitive wet adhesion,Soft Matter,,,2017,2017,13,48,9122-9131,"All OA; Green, Published",Article,"Kaminker, Ilia; Wei, Wei; Schrader, Alex M.; Talmon, Yeshayahu; Valentine, Megan T.; Israelachvili, Jacob N.; Waite, J. Herbert; Han, Songi",,"Kaminker, Ilia (University of California, Santa Barbara); Wei, Wei (University of California, Santa Barbara); Schrader, Alex M. (University of California, Santa Barbara); Talmon, Yeshayahu (Technion – Israel Institute of Technology); Valentine, Megan T. (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Waite, J. Herbert (University of California, Santa Barbara); Han, Songi (University of California, Santa Barbara)",4,4,0.22,1.1,https://escholarship.org/content/qt5hg4q15x/qt5hg4q15x.pdf?t=ph1vb2,https://app.dimensions.ai/details/publication/pub.1092708207,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
29,500,pub.1013008634,10.1039/c6cc08820a,28000809,,Long range electrostatic forces in ionic liquids,Chemical Communications,,,2017,2017,53,7,1214-1224,All OA; Gold,Article,"Gebbie, Matthew A.; Smith, Alexander M.; Dobbs, Howard A.; Lee, Alpha A.; Warr, Gregory G.; Banquy, Xavier; Valtiner, Markus; Rutland, Mark W.; Israelachvili, Jacob N.; Perkin, Susan; Atkin, Rob",,"Gebbie, Matthew A. (Stanford University); Smith, Alexander M. (University of Oxford); Dobbs, Howard A. (); Lee, Alpha A. (Harvard University); Warr, Gregory G. (University of Sydney); Banquy, Xavier (University of Montreal); Valtiner, Markus (Max Planck Institute for Iron Research); Rutland, Mark W. (Royal Institute of Technology); Israelachvili, Jacob N. (); Perkin, Susan (University of Oxford); Atkin, Rob (University of Newcastle Australia)",69,58,8.89,19.02,https://pubs.rsc.org/en/content/articlepdf/2017/cc/c6cc08820a,https://app.dimensions.ai/details/publication/pub.1013008634,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
30,100,pub.1092556015,10.1007/978-3-662-54357-3_28,,,Surface Forces and Nanorheology of Molecularly Thin Films,Springer Handbooks,Springer Handbook of Nanotechnology,,2017,2017,,,935-985,Closed,Chapter,"Lee, Dong Woog; Ruths, Marina; Israelachvili, Jacob N.",,"Lee, Dong Woog (Ulsan National Institute of Science and Technology); Ruths, Marina (University of Massachusetts Lowell); Israelachvili, Jacob N. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1092556015,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
31,100,pub.1084743978,10.1007/978-3-319-51433-8_9,,,Surface Forces and Nanorheology of Molecularly Thin Films,,Nanotribology and Nanomechanics,,2017,2017,,,457-518,Closed,Chapter,"Lee, Dong Woog; Ruths, Marina; Israelachvili, Jacob N.","Lee, Dong Woog","Lee, Dong Woog (Ulsan National Institute of Science and Technology); Ruths, Marina (University of Massachusetts Lowell); Israelachvili, Jacob N. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1084743978,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
32,200,pub.1055119645,10.1021/acs.macromol.6b01514,,,"Correlated Diffusivities, Solubilities, and Hydrophobic Interactions in Ternary Polydimethylsiloxane–Water–Tetrahydrofuran Mixtures",Macromolecules,,,9/27/16,2016,49,18,6910-6917,Closed,Article,"Donaldson, Stephen H.; Jahnke, Justin P.; Messinger, Robert J.; Östlund, Åsa; Uhrig, David; Israelachvili, Jacob N.; Chmelka, Bradley F.",,"Donaldson, Stephen H. (University of California, Santa Barbara; French National Centre for Scientific Research); Jahnke, Justin P. (University of California, Santa Barbara); Messinger, Robert J. (University of California, Santa Barbara); Östlund, Åsa (University of California, Santa Barbara); Uhrig, David (Oak Ridge National Laboratory); Israelachvili, Jacob N. (University of California, Santa Barbara); Chmelka, Bradley F. (University of California, Santa Barbara)",4,2,,,,https://app.dimensions.ai/details/publication/pub.1055119645,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
33,400,pub.1007004779,10.1063/1.4959904,27475340,PMC4967073,Communication: Contrasting effects of glycerol and DMSO on lipid membrane surface hydration dynamics and forces,The Journal of Chemical Physics,,"1,2-Dipalmitoylphosphatidylcholine; Diffusion; Dimethyl Sulfoxide; Electron Spin Resonance Spectroscopy; Gels; Glycerol; Hydrogen Bonding; Lipid Bilayers; Solutions; Solvents; Surface Properties; Water",7/28/16,2016,145,4,41101,"All OA; Green, Published",Article,"Schrader, Alex M.; Cheng, Chi-Yuan; Israelachvili, Jacob N.; Han, Songi",,"Schrader, Alex M. (University of California, Santa Barbara); Cheng, Chi-Yuan (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Han, Songi (University of California, Santa Barbara)",8,6,1.13,1.64,http://europepmc.org/articles/pmc4967073?pdf=render,https://app.dimensions.ai/details/publication/pub.1007004779,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
34,400,pub.1055875443,10.1021/jacs.6b03453,27415839,,Defining the Catechol-Cation Synergy for Enhanced Wet Adhesion to Mineral Surfaces.,Journal of the American Chemical Society,,,7/27/16,2016,138,29,9013-6,"All OA; Green, Published",Article,"Rapp, Michael V; Maier, Greg P; Dobbs, Howard A; Higdon, Nicholas J; Waite, J Herbert; Butler, Alison; Israelachvili, Jacob N",,"Rapp, Michael V (University of California, Santa Barbara); Maier, Greg P (University of California, Santa Barbara); Dobbs, Howard A (University of California, Santa Barbara); Higdon, Nicholas J (University of California, Santa Barbara); Waite, J Herbert (University of California, Santa Barbara); Butler, Alison (University of California, Santa Barbara); Israelachvili, Jacob N (University of California, Santa Barbara)",33,25,2.28,6.76,https://escholarship.org/content/qt5tx1k67d/qt5tx1k67d.pdf?t=ph1vrq,https://app.dimensions.ai/details/publication/pub.1055875443,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
35,200,pub.1055119447,10.1021/acs.macromol.6b00949,,,Adhesion and Detachment Mechanisms between Polymer and Solid Substrate Surfaces: Using Polystyrene–Mica as a Model System,Macromolecules,,,7/26/16,2016,49,14,5223-5231,Closed,Article,"Zeng, Hongbo; Huang, Jun; Tian, Yu; Li, Lin; Tirrell, Matthew V.; Israelachvili, Jacob N.",,"Zeng, Hongbo (University of Alberta); Huang, Jun (University of Alberta); Tian, Yu (Tsinghua University); Li, Lin (University of Alberta); Tirrell, Matthew V. (); Israelachvili, Jacob N. (University of California, Santa Barbara)",16,12,,,,https://app.dimensions.ai/details/publication/pub.1055119447,09 Engineering; 03 Chemical Sciences,09 Engineering,03 Chemical Sciences,,,
36,100,pub.1118777436,,,,"A multi-axis confocal rheoscope for studying shear flow of structured
  fluids",arXiv,,,5/31/16,2016,,,,"All OA; Green, Accepted & Submitted",Preprint,"Lin, Neil Y. C.; McCoy, Jonathan H.; Cheng, Xiang; Leahy, Brian; Israelachvili, Jacob N.; Cohen, Itai",,"Lin, Neil Y. C. (); McCoy, Jonathan H. (); Cheng, Xiang (); Leahy, Brian (); Israelachvili, Jacob N. (); Cohen, Itai ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1118777436,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
37,400,pub.1008564982,10.1002/adfm.201600210,27840600,PMC5102340,An Underwater Surface‐Drying Peptide Inspired by a Mussel Adhesive Protein,Advanced Functional Materials,,,2016-05,2016,26,20,3496-3507,"All OA; Green, Published",Article,"Wei, Wei; Petrone, Luigi; Tan, YerPeng; Cai, Hao; Israelachvili, Jacob N.; Miserez, Ali; Waite, J. Herbert",,"Wei, Wei (University of California, Santa Barbara); Petrone, Luigi (Nanyang Technological University); Tan, YerPeng (University of California, Santa Barbara); Cai, Hao (Nanyang Technological University); Israelachvili, Jacob N. (University of California, Santa Barbara); Miserez, Ali (Nanyang Technological University); Waite, J. Herbert (University of California, Santa Barbara)",48,35,3.73,9.83,https://escholarship.org/content/qt3wk6957r/qt3wk6957r.pdf?t=ph1vu0,https://app.dimensions.ai/details/publication/pub.1008564982,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
38,400,pub.1027174113,10.1073/pnas.1603065113,27036002,PMC4843488,Surface force measurements and simulations of mussel-derived peptide adhesives on wet organic surfaces,Proceedings of the National Academy of Sciences,,"Adhesives; Animals; Bivalvia; Models, Chemical; Peptides; Wettability",4/19/16,2016,113,16,4332-4337,All OA; Gold,Article,"Levine, Zachary A.; Rapp, Michael V.; Wei, Wei; Mullen, Ryan Gotchy; Wu, Chun; Zerze, Gül H.; Mittal, Jeetain; Waite, J. Herbert; Israelachvili, Jacob N.; Shea, Joan-Emma",,"Levine, Zachary A. (University of California, Santa Barbara); Rapp, Michael V. (University of California, Santa Barbara); Wei, Wei (University of California, Santa Barbara); Mullen, Ryan Gotchy (University of California, Santa Barbara); Wu, Chun (Rowan University); Zerze, Gül H. (Lehigh University); Mittal, Jeetain (Lehigh University); Waite, J. Herbert (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Shea, Joan-Emma (University of California, Santa Barbara)",25,14,1.86,4.8,https://www.pnas.org/content/pnas/113/16/4332.full.pdf,https://app.dimensions.ai/details/publication/pub.1027174113,0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
39,400,pub.1036098979,10.1038/nmat4539,26779881,PMC4939084,Underwater contact adhesion and microarchitecture in polyelectrolyte complexes actuated by solvent exchange,Nature Materials,,Adhesives; Animals; Dimethyl Sulfoxide; Polyamines; Polychaeta; Polymers; Water,2016-04,2016,15,4,407-412,"All OA; Green, Published",Article,"Zhao, Qiang; Lee, Dong Woog; Ahn, B. Kollbe; Seo, Sungbaek; Kaufman, Yair; Israelachvili, Jacob N.; Waite, J. Herbert","Israelachvili, Jacob N.","Zhao, Qiang (University of California, Santa Barbara); Lee, Dong Woog (University of California, Santa Barbara); Ahn, B. Kollbe (University of California, Santa Barbara); Seo, Sungbaek (University of California, Santa Barbara); Kaufman, Yair (University of California, Santa Barbara); Israelachvili, Jacob N. (University of California, Santa Barbara); Waite, J. Herbert (University of California, Santa Barbara)",82,58,4.97,20.01,https://escholarship.org/content/qt5xs1g79z/qt5xs1g79z.pdf?t=ph1y2o,https://app.dimensions.ai/details/publication/pub.1036098979,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
40,400,pub.1055128890,10.1021/acsami.5b10721,26709928,,"Time-Dependent Wetting Behavior of PDMS Surfaces with Bioinspired, Hierarchical Structures.",ACS Applied Materials & Interfaces,,Animals; Dimethylpolysiloxanes; Sea Urchins; Wettability,3/30/16,2016,8,12,8168-74,"All OA; Green, Accepted & Submitted",Article,"Mishra, Himanshu; Schrader, Alex M; Lee, Dong Woog; Gallo, Adair; Chen, Szu-Ying; Kaufman, Yair; Das, Saurabh; Israelachvili, Jacob N",,"Mishra, Himanshu (); Schrader, Alex M (); Lee, Dong Woog (); Gallo, Adair (Coordenação de Aperfeicoamento de Pessoal de Nível Superior); Chen, Szu-Ying (); Kaufman, Yair (); Das, Saurabh (); Israelachvili, Jacob N ()",14,10,1.23,2.87,https://repository.kaust.edu.sa/bitstream/10754/592756/1/acsami2E5b10721.pdf,https://app.dimensions.ai/details/publication/pub.1055128890,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
41,400,pub.1055081307,10.1021/acs.biochem.5b01177,26745013,PMC4760353,"α,β-Dehydro-Dopa: A Hidden Participant in Mussel Adhesion.",Biochemistry,,"Animals; Bivalvia; Chromatography, High Pressure Liquid; Dihydroxyphenylalanine; Oxidation-Reduction; Polymerization; Proteins; Quartz Crystal Microbalance Techniques; Spectrophotometry, Ultraviolet; Spectroscopy, Fourier Transform Infrared",2/9/16,2016,55,5,743-50,"All OA; Green, Accepted & Submitted",Article,"Mirshafian, Razieh; Wei, Wei; Israelachvili, Jacob N; Waite, J Herbert",,"Mirshafian, Razieh (University of California, Santa Barbara); Wei, Wei (University of California, Santa Barbara); Israelachvili, Jacob N (University of California, Santa Barbara); Waite, J Herbert (University of California, Santa Barbara)",9,6,1.22,1.63,http://europepmc.org/articles/pmc4760353?pdf=render,https://app.dimensions.ai/details/publication/pub.1055081307,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
42,400,pub.1055137482,10.1021/acsnano.5b06066,26695175,PMC4932843,Mussel-Inspired Anchoring of Polymer Loops That Provide Superior Surface Lubrication and Antifouling Properties.,ACS Nano,,Adsorption; Aluminum Silicates; Animals; Anti-Infective Agents; Biomimetic Materials; Bivalvia; Catechols; Cell Adhesion; Cell Line; Cell Survival; Friction; Lubricants; Mice; Molecular Conformation; Osteoblasts; Polyethylene Glycols; Rhodophyta; Surface Properties,1/26/16,2016,10,1,930-7,"All OA; Green, Published",Article,"Kang, Taegon; Banquy, Xavier; Heo, Jinhwa; Lim, Chanoong; Lynd, Nathaniel A; Lundberg, Pontus; Oh, Dongyeop X; Lee, Han-Koo; Hong, Yong-Ki; Hwang, Dong Soo; Waite, John Herbert; Israelachvili, Jacob N; Hawker, Craig J",,"Kang, Taegon (Samsung (South Korea)); Banquy, Xavier (); Heo, Jinhwa (); Lim, Chanoong (); Lynd, Nathaniel A (); Lundberg, Pontus (); Oh, Dongyeop X (); Lee, Han-Koo (); Hong, Yong-Ki (Pukyong National University); Hwang, Dong Soo (); Waite, John Herbert (); Israelachvili, Jacob N (); Hawker, Craig J ()",36,24,2.17,8.23,https://escholarship.org/content/qt9tj1m7fn/qt9tj1m7fn.pdf?t=ph1x5p,https://app.dimensions.ai/details/publication/pub.1055137482,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,
43,400,pub.1055082695,10.1021/acs.biomac.5b01216,26619081,,Interaction Forces between Supported Lipid Bilayers in the Presence of PEGylated Polymers.,Biomacromolecules,,Hydrophobic and Hydrophilic Interactions; Kinetics; Lipid Bilayers; Mechanical Phenomena; Poloxamer; Polyethylene Glycols; Polyethylenes; Polymers; Polypropylenes; Surface Properties,1/11/16,2016,17,1,88-97,"All OA; Green, Published",Article,"Banquy, Xavier; Lee, Dong Woog; Kristiansen, Kai; Gebbie, Matthew A; Israelachvili, Jacob N",,"Banquy, Xavier (University of Montreal); Lee, Dong Woog (); Kristiansen, Kai (); Gebbie, Matthew A (); Israelachvili, Jacob N ()",4,3,0.58,0.88,https://escholarship.org/content/qt1tv831n0/qt1tv831n0.pdf?t=o0udti,https://app.dimensions.ai/details/publication/pub.1055082695,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0912 Materials Engineering; 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,0303 Macromolecular and Materials Chemistry,03 Chemical Sciences
