,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Sadie Jane Ryan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,400,pub.1005762197,10.1007/s00267-014-0305-z,25022887,,Implications of Spatial Data Variations for Protected Areas Management: An Example from East Africa,Environmental Management,,Conservation of Natural Resources; Geographic Information Systems; Remote Sensing Technology; Research Design; Trees; Uganda; Uncertainty,2014-09,2014,54,3,596-605,Closed,Article,"Dowhaniuk, Nicholas; Hartter, Joel; Ryan, Sadie J.","Dowhaniuk, Nicholas","Dowhaniuk, Nicholas (University of New Hampshire); Hartter, Joel (University of Colorado Boulder); Ryan, Sadie J. (SUNY College of Environmental Science and Forestry; SUNY Upstate Medical University; University of KwaZulu-Natal; University of Florida)",1,0,0.07,0.22,,https://app.dimensions.ai/details/publication/pub.1005762197,09 Engineering; 0909 Geomatic Engineering; 05 Environmental Sciences; 0502 Environmental Science and Management,09 Engineering,0909 Geomatic Engineering,05 Environmental Sciences,0502 Environmental Science and Management,
102,100,pub.1008573680,10.1007/s10584-014-1217-x,,,Satellite-based rainfall data reveal a recent drying trend in central equatorial Africa,Climatic Change,,,2014-09,2014,126,2-Jan,263-272,Closed,Article,"Diem, Jeremy E.; Ryan, Sadie J.; Hartter, Joel; Palace, Michael W.","Diem, Jeremy E.","Diem, Jeremy E. (Georgia State University); Ryan, Sadie J. (University of Florida); Hartter, Joel (University of Colorado Boulder); Palace, Michael W. (University of New Hampshire)",32,17,,6.58,,https://app.dimensions.ai/details/publication/pub.1008573680,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
103,100,pub.1119306511,,,,"Spatiotemporal clustering, climate periodicity, and social-ecological
  risk factors for dengue during an outbreak in Machala, Ecuador, in 2010",arXiv,,,7/29/14,2014,,,,"All OA; Green, Accepted & Submitted",Preprint,"Ibarra, Anna M. Stewart; Munoz, Angel G.; Ryan, Sadie J.; Borbor, Mercy J.; Ayala, Efrain Beltran; Finkelstein, Julia L.; Mejia, Raul; Ordonez, Tania; Coronel, G. Cristina Recalde; Rivero, Keytia",,"Ibarra, Anna M. Stewart (); Munoz, Angel G. (); Ryan, Sadie J. (); Borbor, Mercy J. (); Ayala, Efrain Beltran (); Finkelstein, Julia L. (); Mejia, Raul (); Ordonez, Tania (); Coronel, G. Cristina Recalde (); Rivero, Keytia ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1119306511,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
104,100,pub.1021243000,10.1017/cbo9781139568098.022,,,"African buffalo Syncerus caffer (Sparrman, 1779)",,"Ecology, Evolution and Behaviour of Wild Cattle",,2014,2014,,,326-372,Closed,Chapter,"Cornélis, Daniel; Melletti, Mario; Korte, Lisa; Ryan, Sadie J.; Mirabile, Marzia; Prin, Thomas; Prins, Herbert H. T.",,"Cornélis, Daniel (); Melletti, Mario (); Korte, Lisa (); Ryan, Sadie J. (); Mirabile, Marzia (); Prin, Thomas (); Prins, Herbert H. T. ()",6,3,,0.96,,https://app.dimensions.ai/details/publication/pub.1021243000,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
105,400,pub.1042708196,10.1371/journal.pone.0078263,24324542,PMC3855798,Dengue Vector Dynamics (Aedes aegypti) Influenced by Climate and Social Factors in Ecuador: Implications for Targeted Control,PLoS ONE,,Aedes; Animals; Climate; Dengue; Ecuador; Insect Vectors; Temperature,11/12/13,2013,8,11,e78263,All OA; Gold,Article,"Ibarra, Anna M. Stewart; Ryan, Sadie J.; Beltrán, Efrain; Mejía, Raúl; Silva, Mercy; Muñoz, Ángel",,"Ibarra, Anna M. Stewart (SUNY Upstate Medical University; SUNY College of Environmental Science and Forestry); Ryan, Sadie J. (SUNY Upstate Medical University; SUNY College of Environmental Science and Forestry; University of KwaZulu-Natal); Beltrán, Efrain (); Mejía, Raúl (); Silva, Mercy (); Muñoz, Ángel (Columbia University; University of Zulia)",91,46,4.12,19.56,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0078263&type=printable,https://app.dimensions.ai/details/publication/pub.1042708196,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
106,400,pub.1033480596,10.1371/journal.pone.0076863,24204688,PMC3800049,"Interactions between Social Structure, Demography, and Transmission Determine Disease Persistence in Primates",PLoS ONE,,"Algorithms; Animals; Computer Simulation; Female; Grooming; Male; Models, Biological; Prevalence; Primate Diseases; Primates; Reproduction; Sexual Behavior, Animal; Sexually Transmitted Diseases; Time Factors",10/18/13,2013,8,10,e76863,All OA; Gold,Article,"Ryan, Sadie J.; Jones, James H.; Dobson, Andrew P.",,"Ryan, Sadie J. (SUNY College of Environmental Science and Forestry; SUNY Upstate Medical University; University of KwaZulu-Natal); Jones, James H. (Stanford University); Dobson, Andrew P. (Princeton University; Santa Fe Institute)",8,4,0.32,1.11,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0076863&type=printable,https://app.dimensions.ai/details/publication/pub.1033480596,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
107,400,pub.1041112556,10.1371/journal.pbio.1001634,24058292,PMC3760764,Spatially Explicit Data: Stewardship and Ethical Challenges in Science,PLoS Biology,,"Databases, Factual; Ethics, Research; Humans; Information Dissemination; Research; Science",9/3/13,2013,11,9,e1001634,All OA; Gold,Article,"Hartter, Joel; Ryan, Sadie J.; MacKenzie, Catrina A.; Parker, John N.; Strasser, Carly A.",,"Hartter, Joel (University of New Hampshire); Ryan, Sadie J. (SUNY College of Environmental Science and Forestry; SUNY Upstate Medical University; University of KwaZulu-Natal); MacKenzie, Catrina A. (McGill University); Parker, John N. (Arizona State University); Strasser, Carly A. (California Digital Library)",25,8,0.38,,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1001634&type=printable,https://app.dimensions.ai/details/publication/pub.1041112556,11 Medical and Health Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,11 Medical and Health Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
108,400,pub.1015226413,10.1111/ele.12015,23050931,,Optimal temperature for malaria transmission is dramatically lower than previously predicted,Ecology Letters,,"Animals; Climate Change; Culicidae; Female; Host-Parasite Interactions; Humans; Malaria; Models, Biological; Plasmodium falciparum; Temperature",2013-01,2013,16,1,22-30,Closed,Article,"Mordecai, Erin A.; Paaijmans, Krijn P.; Johnson, Leah R.; Balzer, Christian; Ben‐Horin, Tal; Moor, Emily; McNally, Amy; Pawar, Samraat; Ryan, Sadie J.; Smith, Thomas C.; Lafferty, Kevin D.",,"Mordecai, Erin A. (University of California, Santa Barbara); Paaijmans, Krijn P. (Pennsylvania State University); Johnson, Leah R. (); Balzer, Christian (University of California, Santa Barbara); Ben‐Horin, Tal (University of California, Santa Barbara); Moor, Emily (University of California, Santa Barbara); McNally, Amy (University of California, Santa Barbara); Pawar, Samraat (University of California Los Angeles); Ryan, Sadie J. (SUNY College of Environmental Science and Forestry); Smith, Thomas C. (University of California, Santa Barbara); Lafferty, Kevin D. (University of California, Santa Barbara)",234,98,11.78,41.31,,https://app.dimensions.ai/details/publication/pub.1015226413,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
109,200,pub.1071224390,10.3368/er.30.4.320,,,Beyond Ecological Success of Corridors: Integrating Land Use History and Demographic Change to Provide a Whole Landscape Perspective,Ecological Restoration,,,12/1/12,2012,30,4,320-328,Closed,Article,"Ryan, S. J.; Hartter, J.",,"Ryan, S. J. (); Hartter, J. ()",10,1,,,,https://app.dimensions.ai/details/publication/pub.1071224390,,,,,,
110,400,pub.1048723396,10.1371/journal.pcbi.1002723,23133352,PMC3486837,Disease Prevention versus Data Privacy: Using Landcover Maps to Inform Spatial Epidemic Models,PLoS Computational Biology,,"Agriculture; Animal Diseases; Animals; Cattle; Computational Biology; Confidentiality; Disease Outbreaks; Foot-and-Mouth Disease; Livestock; Models, Biological",11/1/12,2012,8,11,e1002723,All OA; Gold,Article,"Tildesley, Michael J.; Ryan, Sadie J.",,"Tildesley, Michael J. (University of Warwick; Fogarty International Center); Ryan, Sadie J. ()",13,4,0.59,,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1002723&type=printable,https://app.dimensions.ai/details/publication/pub.1048723396,08 Information and Computing Sciences; 01 Mathematical Sciences; 06 Biological Sciences,08 Information and Computing Sciences,01 Mathematical Sciences,06 Biological Sciences,,
111,100,pub.1020291426,10.1002/jwmg.407,,,The utility of normalized difference vegetation index for predicting African buffalo forage quality,Journal of Wildlife Management,,,2012-09,2012,76,7,1499-1508,Closed,Article,"Ryan, Sadie J.; Cross, Paul C.; Winnie, John; Hay, Craig; Bowers, Justin; Getz, Wayne M.",,"Ryan, Sadie J. (State University of New York); Cross, Paul C. (United States Geological Survey); Winnie, John (Montana State University); Hay, Craig (); Bowers, Justin (); Getz, Wayne M. (University of California, Berkeley; University of KwaZulu-Natal)",40,11,,4.73,,https://app.dimensions.ai/details/publication/pub.1020291426,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
112,400,pub.1022494354,10.1645/ge-2976.1,22300265,,"A Survey of Gastrointestinal Parasites of Olive Baboons (Papio anubis) in Human Settlement Areas of Mole National Park, Ghana",Journal of Parasitology,,"Animals; Ecosystem; Feces; Female; Gastrointestinal Diseases; Ghana; Humans; Intestinal Diseases, Parasitic; Male; Monkey Diseases; Papio; Prevalence; Sex Factors; Zoonoses",2012-08,2012,98,4,885-888,Closed,Article,"Ryan, Sadie J; Brashares, Justin S; Walsh, Chesley; Milbers, Katherine; Kilroy, Cailean; Chapman, Colin A",,"Ryan, Sadie J (SUNY College of Environmental Science and Forestry); Brashares, Justin S (); Walsh, Chesley (); Milbers, Katherine (); Kilroy, Cailean (); Chapman, Colin A ()",18,11,1.2,,,https://app.dimensions.ai/details/publication/pub.1022494354,06 Biological Sciences; 07 Agricultural and Veterinary Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,,
113,400,pub.1043012884,10.1371/journal.pone.0032408,22384244,PMC3288093,Patterns and Perceptions of Climate Change in a Biodiversity Conservation Hotspot,PLoS ONE,,Agriculture; Biodiversity; Climate; Climate Change; Conservation of Natural Resources; Ecology; Ecosystem; Food Supply; Humans; Perception; Public Opinion; Rain; Seasons; Uganda,2/27/12,2012,7,2,e32408,All OA; Gold,Article,"Hartter, Joel; Stampone, Mary D.; Ryan, Sadie J.; Kirner, Karen; Chapman, Colin A.; Goldman, Abraham",,"Hartter, Joel (University of New Hampshire); Stampone, Mary D. (University of New Hampshire); Ryan, Sadie J. (SUNY College of Environmental Science and Forestry; University of California, Santa Barbara); Kirner, Karen (University of Florida); Chapman, Colin A. (McGill University; Wildlife Conservation Society); Goldman, Abraham (University of Florida)",53,14,0.55,8.95,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0032408&type=printable,https://app.dimensions.ai/details/publication/pub.1043012884,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
114,400,pub.1021665455,10.1371/journal.pone.0029030,22216162,PMC3245243,Consequences of Non-Intervention for Infectious Disease in African Great Apes,PLoS ONE,,Africa; Animals; Communicable Diseases; Disease Outbreaks; Gorilla gorilla,12/22/11,2011,6,12,e29030,All OA; Gold,Article,"Ryan, Sadie J.; Walsh, Peter D.",,"Ryan, Sadie J. (SUNY College of Environmental Science and Forestry); Walsh, Peter D. (University of Cambridge)",57,12,1.53,10.99,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0029030&type=printable,https://app.dimensions.ai/details/publication/pub.1021665455,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
115,100,pub.1010677395,10.1890/es11-00162.1,,,Robust detection of plant species distribution shifts under biased sampling regimes,Ecosphere,,,2011-10,2011,2,10,23-Jan,All OA; Gold,Article,"Wolf, Adam; Anderegg, William R. L.; Ryan, Sadie J.; Christensen, Jon",,"Wolf, Adam (Princeton University); Anderegg, William R. L. (Stanford University); Ryan, Sadie J. (University of California, Santa Barbara); Christensen, Jon (Stanford University)",8,2,,1.32,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES11-00162.1,https://app.dimensions.ai/details/publication/pub.1010677395,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
116,100,pub.1046017220,10.1007/s10980-011-9616-0,,,Landscapes as continuous entities: forest disturbance and recovery in the Albertine Rift landscape,Landscape Ecology,,,2011-07,2011,26,6,877,Closed,Article,"Hartter, Joel; Ryan, Sadie J.; Southworth, Jane; Chapman, Colin A.","Hartter, Joel","Hartter, Joel (University of New Hampshire); Ryan, Sadie J. (); Southworth, Jane (); Chapman, Colin A. (McGill University)",19,3,,2.58,,https://app.dimensions.ai/details/publication/pub.1046017220,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
117,200,pub.1009995047,10.1111/j.1477-8947.2011.01382.x,,,"Governing Africa's Forests in a Globalized World – Edited by Laura A German, Alain Karsenty, and Anne‐Marie Tiani",Natural Resources Forum,,,2011-05,2011,35,2,146-147,Closed,Article,"Ryan, Sadie Jane",,"Ryan, Sadie Jane (State University of New York)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1009995047,,,,,,
118,200,pub.1071158720,10.3354/cr00936,,,The Normalized Difference Vegetation Index (NDVI): unforeseen successes in animal ecology,Climate Research,,,1/20/11,2011,46,1,15-27,All OA; Gold,Article,"Pettorelli, N; Ryan, S; Mueller, T; Bunnefeld, N; Jedrzejewska, B; Lima, M; Kausrud, K",,"Pettorelli, N (); Ryan, S (); Mueller, T (); Bunnefeld, N (); Jedrzejewska, B (); Lima, M (); Kausrud, K ()",242,82,,31.06,https://www.int-res.com/articles/cr2011/46/c046p015.pdf,https://app.dimensions.ai/details/publication/pub.1071158720,05 Environmental Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,04 Earth Sciences,0401 Atmospheric Sciences,0502 Environmental Science and Management,
119,100,pub.1033753224,10.1111/j.1600-0706.2009.17574.x,,,MPowering ecologists: community assembly tools for community assembly rules,Oikos,,,2010-07,2010,119,7,1064-1069,Closed,Article,"Ladau, Joshua; Ryan, Sadie J.",,"Ladau, Joshua (); Ryan, Sadie J. ()",2,0,,0.19,,https://app.dimensions.ai/details/publication/pub.1033753224,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
120,100,pub.1028493103,10.1016/j.landusepol.2009.11.001,,,"Top-down or bottom-up? Decentralization, natural resource management, and usufruct rights in the forests and wetlands of western Uganda",Land Use Policy,,,2010-07,2010,27,3,815-826,Closed,Article,"Hartter, Joel; Ryan, Sadie J.","Hartter, Joel","Hartter, Joel (University of New Hampshire); Ryan, Sadie J. (University of California, Santa Barbara)",40,6,,5.87,,https://app.dimensions.ai/details/publication/pub.1028493103,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
121,400,pub.1035076427,10.1890/08-1532.1,19769125,PMC3025599,Methods for assessing movement path recursion with application to African buffalo in South Africa,Ecology,,"Animal Migration; Animals; Buffaloes; Demography; Ecosystem; Feeding Behavior; Geographic Information Systems; Models, Biological; South Africa; Time Factors",2009-09,2009,90,9,2467-2479,"All OA; Green, Accepted & Submitted",Article,"Bar-David, Shirli; Bar-David, Israel; Cross, Paul C.; Ryan, Sadie J.; Knechtel, Christiane U.; Getz, Wayne M.",,"Bar-David, Shirli (Ben-Gurion University of the Negev); Bar-David, Israel (); Cross, Paul C. (Montana State University); Ryan, Sadie J. (Stanford University; McGill University); Knechtel, Christiane U. (University of Pretoria); Getz, Wayne M. (University of California, Berkeley; University of Pretoria)",60,17,1.11,8.02,http://europepmc.org/articles/pmc3025599?pdf=render,https://app.dimensions.ai/details/publication/pub.1035076427,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
122,400,pub.1009745933,10.1016/j.epidem.2008.08.001,21352748,,Incongruent HIV and tuberculosis co-dynamics in Kenya: Interacting epidemics monitor each other,Epidemics,,"Anti-Retroviral Agents; HIV Infections; Humans; Kenya; Models, Biological; Prevalence; Sentinel Surveillance; Tuberculosis",2009-03,2009,1,1,14-20,Closed,Article,"Sánchez, María S.; Lloyd-Smith, James O.; Williams, Brian G.; Porco, Travis C.; Ryan, Sadie J.; Borgdorff, Martien W.; Mansoer, John; Dye, Christopher; Getz, Wayne M.","Sánchez, María S.","Sánchez, María S. (University of California, Berkeley); Lloyd-Smith, James O. (Pennsylvania State University; University of California Los Angeles); Williams, Brian G. (World Health Organization); Porco, Travis C. (University of California, San Francisco); Ryan, Sadie J. (Stanford University); Borgdorff, Martien W. (Koninklijke Nederlandse Chemische Vereniging; University of Amsterdam); Mansoer, John (); Dye, Christopher (World Health Organization); Getz, Wayne M. (University of California, Berkeley)",7,2,0.15,1.13,,https://app.dimensions.ai/details/publication/pub.1009745933,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
123,100,pub.1021631329,10.1007/s10764-007-9172-2,,,Intersexual Conflict and Group Size in Alouatta palliata: A 23-year Evaluation,International Journal of Primatology,,,2008-04,2008,29,2,405-420,Closed,Article,"Ryan, Sadie J.; Starks, Philip T.; Milton, Katharine; Getz, Wayne M.","Ryan, Sadie J.","Ryan, Sadie J. (Stanford University; McGill University); Starks, Philip T. (Tufts University); Milton, Katharine (University of California, Berkeley); Getz, Wayne M. (University of California, Berkeley; University of Pretoria)",19,3,,1.62,,https://app.dimensions.ai/details/publication/pub.1021631329,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
124,100,pub.1042993893,10.1111/j.1365-2664.2007.01357.x,,,Efforts going to the dogs? Evaluating attempts to re‐introduce endangered wild dogs in South Africa,Journal of Applied Ecology,,,2008-02,2008,45,1,100-108,"All OA; Green, Accepted & Submitted",Article,"Gusset, Markus; Ryan, Sadie J.; Hofmeyr, Markus; Van Dyk, Gus; Davies‐Mostert, Harriet T.; Graf, Jan A.; Owen, Cailey; Szykman, Micaela; Macdonald, David W.; Monfort, Steven L.; Wildt, David E.; Maddock, Anthony H.; Mills, M. Gus L.; Slotow, Rob; Somers, Michael J.",,"Gusset, Markus (University of KwaZulu-Natal; University of Pretoria); Ryan, Sadie J. (); Hofmeyr, Markus (South African National Parks); Van Dyk, Gus (University of KwaZulu-Natal); Davies‐Mostert, Harriet T. (University of Oxford; Endangered Wildlife Trust); Graf, Jan A. (University of KwaZulu-Natal); Owen, Cailey (University of KwaZulu-Natal); Szykman, Micaela (Smithsonian Conservation Biology Institute; Humboldt State University); Macdonald, David W. (University of Oxford); Monfort, Steven L. (Smithsonian Conservation Biology Institute); Wildt, David E. (Smithsonian Conservation Biology Institute); Maddock, Anthony H. (Joint Nature Conservation Committee); Mills, M. Gus L. (University of Pretoria); Slotow, Rob (University of KwaZulu-Natal); Somers, Michael J. (University of Pretoria)",70,8,,7.47,https://repository.up.ac.za/bitstream/2263/9002/1/Gusset_Efforts%282008%29.pdf,https://app.dimensions.ai/details/publication/pub.1042993893,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
125,100,pub.1051029593,10.1093/beheco/arm028,,,"Ecological cues, gestation length, and birth timing in African buffalo (Syncerus caffer)",Behavioral Ecology,,,2007-07,2007,18,4,635-644,All OA; Gold,Article,"Ryan, SJ; Knechtel, CU; Getz",,"Ryan, SJ (University of California, Berkeley); Knechtel, CU (University of Pretoria); Getz (University of California, Berkeley; University of Pretoria)",49,7,,4.06,https://academic.oup.com/beheco/article-pdf/18/4/635/18398843/arm028.pdf,https://app.dimensions.ai/details/publication/pub.1051029593,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
126,400,pub.1028095246,10.1371/journal.pone.0000207,17299587,PMC1797616,LoCoH: Nonparameteric Kernel Methods for Constructing Home Ranges and Utilization Distributions,PLoS ONE,,"Animals; Buffaloes; Demography; Ecology; Geographic Information Systems; Homing Behavior; South Africa; Statistics, Nonparametric",2/14/07,2007,2,2,e207,All OA; Gold,Article,"Getz, Wayne M.; Fortmann-Roe, Scott; Cross, Paul C.; Lyons, Andrew J.; Ryan, Sadie J.; Wilmers, Christopher C.",,"Getz, Wayne M. (University of California, Berkeley; University of Pretoria); Fortmann-Roe, Scott (University of California, Berkeley); Cross, Paul C. (Montana State University); Lyons, Andrew J. (University of California, Berkeley); Ryan, Sadie J. (University of California, Berkeley); Wilmers, Christopher C. (University of California, Santa Cruz)",273,66,3.02,30.81,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0000207&type=printable,https://app.dimensions.ai/details/publication/pub.1028095246,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
127,200,pub.1026186095,10.1111/j.1523-1739.2006.00347.x,16922250,,The Role of Culture in Conservation Planning for Small or Endangered Populations,Conservation Biology,,"Animals; Behavior, Animal; Biological Evolution; Conservation of Natural Resources; Population Dynamics; Social Behavior",2006-08,2006,20,4,1321-1324,Closed,Article,"RYAN, S. J.",,"RYAN, S. J. (University of California, Berkeley)",22,7,0.2,,,https://app.dimensions.ai/details/publication/pub.1026186095,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
128,100,pub.1043006395,10.2193/0022-541x(2006)70[764:rahsoa]2.0.co;2,,,Range and Habitat Selection of African Buffalo in South Africa,Journal of Wildlife Management,,,2006-06,2006,70,3,764-776,Closed,Article,"RYAN, SADIE J.; KNECHTEL, CHRISTIANE U.; GETZ, WAYNE M.",,"RYAN, SADIE J. (University of California, Berkeley); KNECHTEL, CHRISTIANE U. (University of Pretoria); GETZ, WAYNE M. (University of California, Berkeley; University of Pretoria)",75,13,,8.67,,https://app.dimensions.ai/details/publication/pub.1043006395,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
129,400,pub.1015478803,10.1007/s00442-005-0235-9,16217679,,Defining herbivore assemblages in the Kruger National Park: a correlative coherence approach,Oecologia,,Ecosystem; Environment; Food Chain; Geography; Regression Analysis; Seasons; Soil; South Africa; Time Factors; Trees,2006-01,2006,146,4,632-640,Closed,Article,"Redfern, J. V.; Ryan, S. J.; Getz, W. M.","Redfern, J. V.","Redfern, J. V. (University of California, Berkeley; Southwest Fisheries Science Center); Ryan, S. J. (University of California, Berkeley); Getz, W. M. (University of California, Berkeley; University of Pretoria)",21,0,0.25,1.67,,https://app.dimensions.ai/details/publication/pub.1015478803,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
130,100,pub.1042149353,10.1002/zoo.10071,,,Using stage‐based system dynamics modeling for demographic management of captive populations,Zoo Biology,,,2003,2003,22,1,45-64,"All OA; Green, Accepted & Submitted",Article,"Faust, Lisa J.; Thompson, Steven D.; Earnhardt, Joanne M.; Brown, Ellen; Ryan, Sadie; Sherman, Michelle; Yurenka, Meghan",,"Faust, Lisa J. (Lincoln Park Zoo); Thompson, Steven D. (); Earnhardt, Joanne M. (); Brown, Ellen (); Ryan, Sadie (); Sherman, Michelle (); Yurenka, Meghan ()",8,0,,0.58,http://www.nceas.ucsb.edu/~sjryan/pubs/zoo_03.pdf,https://app.dimensions.ai/details/publication/pub.1042149353,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
131,100,pub.1035922300,10.1002/zoo.10045,,,Effects of hand‐rearing on the reproductive success of western lowland gorillas in North America,Zoo Biology,,,2002,2002,21,4,389-401,"All OA; Green, Accepted & Submitted",Article,"Ryan, Sadie; Thompson, Steven D.; Roth, Amber M.; Gold, Kenneth C.",,"Ryan, Sadie (University of California, Berkeley); Thompson, Steven D. (); Roth, Amber M. (); Gold, Kenneth C. ()",27,4,,4.11,http://www.nceas.ucsb.edu/~sjryan/pubs/zoo_02.pdf,https://app.dimensions.ai/details/publication/pub.1035922300,07 Agricultural and Veterinary Sciences; 06 Biological Sciences; 0608 Zoology; 0707 Veterinary Sciences,07 Agricultural and Veterinary Sciences,06 Biological Sciences,0608 Zoology,0707 Veterinary Sciences,
132,400,pub.1021456031,10.1002/zoo.1009,11429780,,Disease risk and inter‐institutional transfer of specimens in cooperative breeding programs: Herpes and the elephant species survival plans,Zoo Biology,,,2001,2001,20,2,89-101,Closed,Article,"Ryan, Sadie J.; Thompson, Steven D.",,"Ryan, Sadie J. (Lincoln Park Zoo); Thompson, Steven D. ()",16,0,0.37,2.45,,https://app.dimensions.ai/details/publication/pub.1021456031,07 Agricultural and Veterinary Sciences; 06 Biological Sciences; 0608 Zoology; 0707 Veterinary Sciences,07 Agricultural and Veterinary Sciences,06 Biological Sciences,0608 Zoology,0707 Veterinary Sciences,
