,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Cyrus R Safinya. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,500,pub.1091143855,10.1016/bs.mcb.2017.06.002,28882300,,Chapter 8 Synchrotron small-angle X-ray scattering and electron microscopy characterization of structures and forces in microtubule/Tau mixtures,Methods in Cell Biology,Methods in Tau Cell Biology,"Humans; Microscopy, Electron; Microtubules; Scattering, Small Angle; Synchrotrons; Tubulin; X-Ray Diffraction; tau Proteins",2017,2017,141,,155-178,Closed,Chapter,"Chung, Peter J.; Song, Chaeyeon; Miller, Herbert P.; Li, Youli; Raviv, Uri; Choi, Myung Chul; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.","Chung, Peter J.","Chung, Peter J. (University of California, Santa Barbara); Song, Chaeyeon (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Raviv, Uri (Hebrew University of Jerusalem); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",1,1,0.22,0.25,,https://app.dimensions.ai/details/publication/pub.1091143855,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
28,500,pub.1090881262,10.1016/bs.mcb.2017.06.001,28882309,,Chapter 1 Expression and isolation of recombinant tau,Methods in Cell Biology,Methods in Tau Cell Biology,"Chromatography, Affinity; Histidine; Humans; Recombinant Proteins; tau Proteins",2017,2017,141,,26-Mar,Closed,Chapter,"Best, Rebecca L.; Chung, Peter J.; Benbow, Sarah J.; Savage, April; LaPointe, Nichole E.; Safinya, Cyrus R.; Feinstein, Stuart C.","Feinstein, Stuart C.","Best, Rebecca L. (University of California, Santa Barbara); Chung, Peter J. (University of California, Santa Barbara); Benbow, Sarah J. (University of California, Santa Barbara); Savage, April (University of California, Santa Barbara); LaPointe, Nichole E. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara)",1,1,0.15,0.28,,https://app.dimensions.ai/details/publication/pub.1090881262,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
29,400,pub.1034473277,10.1038/ncomms12278,27452526,PMC4962469,Tau mediates microtubule bundle architectures mimicking fascicles of microtubules found in the axon initial segment,Nature Communications,,"Animals; Axon Initial Segment; Cattle; Microtubules; Osmotic Pressure; Protein Domains; Scattering, Small Angle; Thermodynamics; X-Ray Diffraction; tau Proteins",2016-11,2016,7,1,12278,All OA; Gold,Article,"Chung, Peter J.; Song, Chaeyeon; Deek, Joanna; Miller, Herbert P.; Li, Youli; Choi, Myung Chul; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.","Safinya, Cyrus R.","Chung, Peter J. (University of California, Santa Barbara); Song, Chaeyeon (University of California, Santa Barbara); Deek, Joanna (University of California, Santa Barbara; Technical University Munich); Miller, Herbert P. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",22,14,1.57,7.1,https://www.nature.com/articles/ncomms12278.pdf,https://app.dimensions.ai/details/publication/pub.1034473277,1109 Neurosciences; 11 Medical and Health Sciences,1109 Neurosciences,11 Medical and Health Sciences,,,
30,400,pub.1035275183,10.1098/rsta.2015.0129,27298431,PMC4920278,Cationic liposome–nucleic acid nanoparticle assemblies with applications in gene delivery and gene silencing,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences,,Animals; Biocompatible Materials; Cations; Cell Line; Gene Silencing; Humans; Liposomes; Mice; Nanoparticles; Nanotechnology; Nucleic Acids; Transfection,7/28/16,2016,374,2072,20150129,"All OA; Green, Published",Article,"Majzoub, Ramsey N; Ewert, Kai K; Safinya, Cyrus R",,"Majzoub, Ramsey N (University of California, Santa Barbara); Ewert, Kai K (University of California, Santa Barbara); Safinya, Cyrus R (University of California, Santa Barbara)",25,17,2.41,4.71,http://europepmc.org/articles/pmc4920278?pdf=render,https://app.dimensions.ai/details/publication/pub.1035275183,0306 Physical Chemistry (incl. Structural); 0303 Macromolecular and Materials Chemistry; 0601 Biochemistry and Cell Biology; 03 Chemical Sciences; 06 Biological Sciences,0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,0601 Biochemistry and Cell Biology,03 Chemical Sciences,06 Biological Sciences
31,400,pub.1055107338,10.1021/acs.jpcb.6b04441,27203598,PMC4936928,Rab11 and Lysotracker Markers Reveal Correlation between Endosomal Pathways and Transfection Efficiency of Surface-Functionalized Cationic Liposome-DNA Nanoparticles.,The Journal of Physical Chemistry B,,"Amines; Cations; Cell Line, Tumor; DNA; Endosomes; Fluorescent Dyes; Genetic Therapy; Green Fluorescent Proteins; Humans; Integrins; Liposomes; Male; Membrane Potentials; Nanoparticles; Neuropilin-1; Transfection; rab GTP-Binding Proteins",7/7/16,2016,120,26,6439-53,"All OA; Green, Accepted & Submitted",Article,"Majzoub, Ramsey N; Wonder, Emily; Ewert, Kai K; Kotamraju, Venkata Ramana; Teesalu, Tambet; Safinya, Cyrus R",,"Majzoub, Ramsey N (); Wonder, Emily (); Ewert, Kai K (); Kotamraju, Venkata Ramana (Sanford Burnham Prebys Medical Discovery Institute); Teesalu, Tambet (Sanford Burnham Prebys Medical Discovery Institute; University of Tartu); Safinya, Cyrus R ()",11,6,0.87,,http://europepmc.org/articles/pmc4936928?pdf=render,https://app.dimensions.ai/details/publication/pub.1055107338,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
32,400,pub.1004296002,10.1016/j.bbagen.2016.03.018,26993199,,Neurofilament networks: Salt-responsive hydrogels with sidearm-dependent phase behavior,Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism,,"Animals; Buffers; Cattle; Hydrogels; Intermediate Filaments; Liquid Crystals; Microscopy, Polarization; Neurofilament Proteins; Phase Transition; Protein Conformation; Scattering, Small Angle; X-Ray Diffraction",2016-07,2016,1860,7,1560-1569,All OA; Gold,Article,"Deek, Joanna; Chung, Peter J.; Safinya, Cyrus R.","Deek, Joanna","Deek, Joanna (University of California, Santa Barbara); Chung, Peter J. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",6,3,0.6,,https://manuscript.elsevier.com/S0304416516300733/pdf/S0304416516300733.pdf,https://app.dimensions.ai/details/publication/pub.1004296002,02 Physical Sciences; 06 Biological Sciences,02 Physical Sciences,06 Biological Sciences,,,
33,400,pub.1000994818,10.1016/j.cis.2015.11.002,26684364,PMC4864139,"The effect of multivalent cations and Tau on paclitaxel-stabilized microtubule assembly, disassembly, and structure",Advances in Colloid and Interface Science,,"Animals; Humans; Microtubules; Paclitaxel; Scattering, Small Angle; X-Ray Diffraction; tau Proteins",2016-06,2016,232,,16-Sep,All OA; Gold,Article,"Safinya, Cyrus R.; Chung, Peter J.; Song, Chaeyeon; Li, Youli; Ewert, Kai K.; Choi, Myung Chul","Safinya, Cyrus R.","Safinya, Cyrus R. (University of California, Santa Barbara); Chung, Peter J. (University of California, Santa Barbara); Song, Chaeyeon (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Choi, Myung Chul (Korea Advanced Institute of Science and Technology)",4,2,0.3,0.82,https://manuscript.elsevier.com/S0001868615001931/pdf/S0001868615001931.pdf,https://app.dimensions.ai/details/publication/pub.1000994818,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
34,400,pub.1026319495,10.1016/j.bmcl.2016.01.079,26874401,PMC4775344,Synthesis of linear and cyclic peptide–PEG–lipids for stabilization and targeting of cationic liposome–DNA complexes,Bioorganic & Medicinal Chemistry Letters,,"Cations; DNA; Humans; Lipids; Liposomes; Molecular Structure; Nanoparticles; Peptides, Cyclic; Polyethylene Glycols",2016-03,2016,26,6,1618-1623,All OA; Gold,Article,"Ewert, Kai K.; Kotamraju, Venkata Ramana; Majzoub, Ramsey N.; Steffes, Victoria M.; Wonder, Emily A.; Teesalu, Tambet; Ruoslahti, Erkki; Safinya, Cyrus R.","Ewert, Kai K.","Ewert, Kai K. (University of California, Santa Barbara); Kotamraju, Venkata Ramana (Sanford Burnham Prebys Medical Discovery Institute); Majzoub, Ramsey N. (University of California, Santa Barbara); Steffes, Victoria M. (University of California, Santa Barbara); Wonder, Emily A. (University of California, Santa Barbara); Teesalu, Tambet (Sanford Burnham Prebys Medical Discovery Institute; University of California, Santa Barbara; University of Tartu); Ruoslahti, Erkki (Sanford Burnham Prebys Medical Discovery Institute; University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",14,6,1.24,2.8,https://manuscript.elsevier.com/S0960894X16300920/pdf/S0960894X16300920.pdf,https://app.dimensions.ai/details/publication/pub.1026319495,0305 Organic Chemistry; 03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,0305 Organic Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,
35,200,pub.1049840280,10.1016/j.bpj.2015.11.1912,,,The Effect of Multivalent Cations on Microtubule-Protein Tau Ordering,Biophysical Journal,,,2016-02,2016,110,3,354a-355a,All OA; Gold,Article,"Song, Chaeyeon; Chung, Peter; Miller, Herbert P.; Li, Youli; Feinstein, Stuart C.; Wilson, Leslie; Safinya, Cyrus R.",,"Song, Chaeyeon (University of California, Santa Barbara); Chung, Peter (University of California, Santa Barbara); Miller, Herbert P. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2015.11.1912,https://app.dimensions.ai/details/publication/pub.1049840280,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
36,200,pub.1029197622,10.1016/j.bpj.2015.11.288,,,Optimization of Peptide-Tagged Cationic Lipid Nanoparticles for Targeted Gene Delivery,Biophysical Journal,,,2016-02,2016,110,3,41a,All OA; Gold,Article,"Wonder, Emily; Majzoub, Ramsey; Ewert, Kai K.; Kotamraju, V. Ramana; Ruoslahti, Erkki; Teesalu, Tambet; Safinya, Cyrus R.",,"Wonder, Emily (University of California, Santa Barbara); Majzoub, Ramsey (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Kotamraju, V. Ramana (University of California, Santa Barbara; Sanford Burnham Prebys Medical Discovery Institute); Ruoslahti, Erkki (University of California, Santa Barbara; Sanford Burnham Prebys Medical Discovery Institute); Teesalu, Tambet (Sanford Burnham Prebys Medical Discovery Institute; University of Tartu); Safinya, Cyrus R. (University of California, Santa Barbara)",1,1,,,https://doi.org/10.1016/j.bpj.2015.11.288,https://app.dimensions.ai/details/publication/pub.1029197622,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
37,200,pub.1009281709,10.1016/j.bpj.2015.11.2707,,,Tuning the Physical Properties of Liposomes to Understand Hydrophobic Drug Delivery Mechanisms,Biophysical Journal,,,2016-02,2016,110,3,507a,All OA; Gold,Article,"Steffes, Victoria M.; Majzoub, Ramsey N.; Fletcher, Bretton J.; Ewert, Kai K.; Safinya, Cyrus R.",,"Steffes, Victoria M. (University of California, Santa Barbara); Majzoub, Ramsey N. (University of California, Santa Barbara); Fletcher, Bretton J. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2015.11.2707,https://app.dimensions.ai/details/publication/pub.1009281709,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
38,200,pub.1004175570,10.1016/j.bpj.2015.11.2958,,,"Tau Mediates Widely-Spaced Microtubule Bundles through Local Polyion Attractions at the Midplane Layer: A Novel, Functional Mechanism for Intrinsically Disordered Proteins",Biophysical Journal,,,2016-02,2016,110,3,553a,All OA; Gold,Article,"Chung, Peter J.; Song, Chaeyeon; Deek, Joanna; Miller, Herbert P.; Li, Youli; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.",,"Chung, Peter J. (University of California, Santa Barbara); Song, Chaeyeon (University of California, Santa Barbara); Deek, Joanna (Technical University Munich); Miller, Herbert P. (University of California, Santa Barbara); Li, Youli (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1016/j.bpj.2015.11.2958,https://app.dimensions.ai/details/publication/pub.1004175570,02 Physical Sciences; 03 Chemical Sciences; 06 Biological Sciences,02 Physical Sciences,03 Chemical Sciences,06 Biological Sciences,,
39,400,pub.1027090408,10.1007/978-1-4939-3718-9_6,27436314,PMC4957706,Quantitative Intracellular Localization of Cationic Lipid–Nucleic Acid Nanoparticles with Fluorescence Microscopy,Methods in Molecular Biology,Non-Viral Gene Delivery Vectors,"Animals; Cations; Cell Line; Green Fluorescent Proteins; Humans; Lipids; Liposomes; Mice; Microscopy, Fluorescence; Nanoparticles; Nucleic Acids; Polyethylene Glycols; Software; Transfection",2016,2016,1445,,77-108,"All OA; Green, Accepted & Submitted",Chapter,"Majzoub, Ramsey N.; Ewert, Kai K.; Safinya, Cyrus R.","Safinya, Cyrus R.","Majzoub, Ramsey N. (University of California, Santa Barbara); Ewert, Kai K. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",2,1,0.12,0.36,http://europepmc.org/articles/pmc4957706?pdf=render,https://app.dimensions.ai/details/publication/pub.1027090408,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
40,400,pub.1014939435,10.1073/pnas.1513172112,26542680,PMC4664379,Direct force measurements reveal that protein Tau confers short-range attractions and isoform-dependent steric stabilization to microtubules,Proceedings of the National Academy of Sciences,,"Animals; Biophysical Phenomena; Cattle; Humans; Microtubules; Models, Molecular; Osmotic Pressure; Protein Binding; Protein Isoforms; tau Proteins",11/24/15,2015,112,47,e6416-e6425,All OA; Gold,Article,"Chung, Peter J.; Choi, Myung Chul; Miller, Herbert P.; Feinstein, H. Eric; Raviv, Uri; Li, Youli; Wilson, Leslie; Feinstein, Stuart C.; Safinya, Cyrus R.",,"Chung, Peter J. (University of California, Santa Barbara); Choi, Myung Chul (Korea Advanced Institute of Science and Technology); Miller, Herbert P. (University of California, Santa Barbara); Feinstein, H. Eric (University of California, Santa Barbara); Raviv, Uri (Hebrew University of Jerusalem); Li, Youli (University of California, Santa Barbara); Wilson, Leslie (University of California, Santa Barbara); Feinstein, Stuart C. (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara)",24,9,1.85,3.49,https://www.pnas.org/content/pnas/112/47/E6416.full.pdf,https://app.dimensions.ai/details/publication/pub.1014939435,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
41,200,pub.1046580089,10.1093/neuonc/nov212.19,,PMC4638740,DDEL-19PENETRATION OF HOMING PEPTIDE-FUNCTIONALIZED NANOPARTICLES TO GLIOMA SPHEROIDS IN VITRO,Neuro-Oncology,,,2015-11,2015,17,suppl_5,v77-v77,All OA; Gold,Article,"Toome, Kadri; Willmore, Anne-Mari Anton; Säälik, Pille; Braun, Gary B.; Majzoub, Ramsey; Safinya, Cyrus R.; Bjerkvig, Rolf; Teesalu, Tambet",,"Toome, Kadri (University of Tartu); Willmore, Anne-Mari Anton (University of Tartu); Säälik, Pille (University of Tartu); Braun, Gary B. (Sanford Burnham Prebys Medical Discovery Institute); Majzoub, Ramsey (University of California, Santa Barbara); Safinya, Cyrus R. (University of California, Santa Barbara); Bjerkvig, Rolf (University of Bergen); Teesalu, Tambet (University of Tartu; Sanford Burnham Prebys Medical Discovery Institute)",2,1,,0.5,https://academic.oup.com/neuro-oncology/article-pdf/17/suppl_5/v77/8768358/nov212.19.pdf,https://app.dimensions.ai/details/publication/pub.1046580089,1109 Neurosciences; 11 Medical and Health Sciences; 1112 Oncology and Carcinogenesis,1109 Neurosciences,11 Medical and Health Sciences,1112 Oncology and Carcinogenesis,,
