,"""About the data: Exported on Dec 04, 2019. Criteria: Researcher is Bernard Kirtman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,100,pub.1046220344,10.1016/0009-2614(90)85588-4,,,Evaluation of vibrational hyperpolarizabilities,Chemical Physics Letters,,,1990-12,1990,175,6,601-607,Closed,Article,"Kirtman, Bernard; Bishop, David M.",,"Kirtman, Bernard (University of California, Santa Barbara); Bishop, David M. (University of Ottawa)",55,2,,,,https://app.dimensions.ai/details/publication/pub.1046220344,10 Technology; 03 Chemical Sciences; 02 Physical Sciences,10 Technology,03 Chemical Sciences,02 Physical Sciences,,
163,100,pub.1049866035,10.1002/9780470125786.ch3,,,Properties of Molecules by Direct Calculation,Reviews in Computational Chemistry,Reviews in Computational Chemistry,,1/1/90,1990,,,83-118,Closed,Chapter,"Dykstra, Clifford E.; Augspurger, Joseph D.; Kirtman, Bernard; Malik, David J.",,"Dykstra, Clifford E. (University of Illinois at Urbana Champaign); Augspurger, Joseph D. (University of Illinois at Urbana Champaign); Kirtman, Bernard (University of California, Santa Barbara); Malik, David J. (Indiana University – Purdue University Indianapolis)",10,0,,,,https://app.dimensions.ai/details/publication/pub.1049866035,,,,,,
164,100,pub.1005932358,10.1002/qua.560360204,,,Finite chain approximation for linear and nonlinear polarizabilities of polydiacetylene and polybutatriene,International Journal of Quantum Chemistry,,,1989-08,1989,36,2,119-125,Closed,Article,"Kirtman, Bernard",,"Kirtman, Bernard (University of California, Santa Barbara)",18,0,,,,https://app.dimensions.ai/details/publication/pub.1005932358,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
165,200,pub.1058034214,10.1063/1.456202,,,Derivative self‐consistent field theory within the local space approximation. I. Polymatrix formulation,The Journal of Chemical Physics,,,6/15/89,1989,90,12,7251-7256,Closed,Article,"Kirtman, Bernard; Dykstra, Clifford E.",,"Kirtman, Bernard (); Dykstra, Clifford E. ()",6,0,,,,https://app.dimensions.ai/details/publication/pub.1058034214,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
166,100,pub.1024365905,10.1016/0009-2614(89)87220-3,,,Ab initio longitudinal polarizabilities and hyperpolarizabilities of polydiacetylene and polybutatriene oligomers,Chemical Physics Letters,,,1989-04,1989,157,2-Jan,123-128,Closed,Article,"Kirtman, Bernard; Hasan, Muhammad",,"Kirtman, Bernard (University of California, Santa Barbara); Hasan, Muhammad (University of California, Santa Barbara)",38,0,,,,https://app.dimensions.ai/details/publication/pub.1024365905,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
167,100,pub.1032652394,10.1016/0009-2614(88)80299-9,,,The CH bond energy of formaldehyde,Chemical Physics Letters,,,1988-07,1988,148,3-Feb,202-204,Closed,Article,"Palke, William E.; Kirtman, Bernard",,"Palke, William E. (University of California, Santa Barbara); Kirtman, Bernard (University of California, Santa Barbara)",6,1,,,,https://app.dimensions.ai/details/publication/pub.1032652394,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
168,200,pub.1055664586,10.1021/j100322a007,,,Ab initio versus molecular mechanics calculations for conformational energies of 2-propanol and cyclohexanol,The Journal of Physical Chemistry,,,1988-06,1988,92,11,3046-3048,Closed,Article,"Palke, William E.; Kirtman, Bernard",,"Palke, William E. (); Kirtman, Bernard ()",4,1,,,,https://app.dimensions.ai/details/publication/pub.1055664586,,,,,,
169,200,pub.1058032284,10.1063/1.454268,,,Comparison between local space approximation and finite cluster treatments of chemisorption on metals,The Journal of Chemical Physics,,,1/15/88,1988,88,2,1019-1025,Closed,Article,"Matos, Maria; Kirtman, Bernard; DeMelo, Celso P.",,"Matos, Maria (); Kirtman, Bernard (); DeMelo, Celso P. ()",21,0,,,,https://app.dimensions.ai/details/publication/pub.1058032284,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
170,100,pub.1048551857,10.1016/0009-2614(88)87015-5,,,Convergence of finite chain approximation for linear and non-linear polarizabilities of polyacetylene,Chemical Physics Letters,,,1988-01,1988,143,1,81-83,Closed,Article,"Kirtman, Bernard",,"Kirtman, Bernard (University of California, Santa Barbara)",43,0,,,,https://app.dimensions.ai/details/publication/pub.1048551857,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
171,300,pub.1060542963,10.1103/physrevb.35.7847,9941113,,Local-space approximation for treatment of chemisorption: Application to a model transition-metal system,Physical Review B,,,1987-05,1987,35,15,7847-7856,Closed,Article,"DeMelo, Celso P.; dos Santos, Maria Cristina; Matos, Maria; Kirtman, Bernard",,"DeMelo, Celso P. (Federal University of Pernambuco); dos Santos, Maria Cristina (Federal University of Pernambuco); Matos, Maria (Pontifical Catholic University of Rio de Janeiro); Kirtman, Bernard (University of California, Santa Barbara)",12,0,0.09,,,https://app.dimensions.ai/details/publication/pub.1060542963,02 Physical Sciences; 03 Chemical Sciences,02 Physical Sciences,03 Chemical Sciences,,,
172,100,pub.1004065868,10.1002/qua.560320752,,,Studies in the paired orbital method. I,International Journal of Quantum Chemistry,,,3/12/87,1987,32,S21,533-538,Closed,Article,"Pauncz, R.; Kirtman, B.; Palke, W. E.",,"Pauncz, R. (University of California, Santa Barbara); Kirtman, B. (University of California, Santa Barbara); Palke, W. E. (University of California, Santa Barbara)",4,0,,,,https://app.dimensions.ai/details/publication/pub.1004065868,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
173,200,pub.1058030219,10.1063/1.452202,,,Local space approximation for treatment of impurities in polymers. Solitons in polyacetylene,The Journal of Chemical Physics,,,1987-02,1987,86,3,1624-1631,Closed,Article,"Kirtman, Bernard; DeMelo, Celso P.",,"Kirtman, Bernard (); DeMelo, Celso P. ()",15,0,,,,https://app.dimensions.ai/details/publication/pub.1058030219,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
174,200,pub.1016476529,10.1016/0167-2584(86)91077-7,,,Cluster-model calculation of Raman intensity for vibration of CO adsorbed on copper,Surface Science Letters,,,1986-11,1986,177,1,a592,"All OA; Green, Accepted & Submitted",Article,"Wu, Ji-An; Metiu, Horia; Kirtman, Bernard",,"Wu, Ji-An (); Metiu, Horia (); Kirtman, Bernard ()",0,0,,,http://www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA166239&Location=U2&doc=GetTRDoc.pdf,https://app.dimensions.ai/details/publication/pub.1016476529,,,,,,
175,100,pub.1051043125,10.1016/0039-6028(86)90260-8,,,Cluster-model calculation of Raman intensity for vibration of CO adsorbed on copper,Surface Science,,,1986-11,1986,177,1,101-113,"All OA; Green, Accepted & Submitted",Article,"Wu, Ji-An; Metiu, Horia; Kirtman, Bernard",,"Wu, Ji-An (University of California, Santa Barbara); Metiu, Horia (University of California, Santa Barbara); Kirtman, Bernard (University of California, Santa Barbara)",1,0,,,http://www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA166239&Location=U2&doc=GetTRDoc.pdf,https://app.dimensions.ai/details/publication/pub.1051043125,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
176,200,pub.1058029053,10.1063/1.451036,,,Local space approximation for configuration interaction and coupled cluster wave functions,The Journal of Chemical Physics,,,1986-09,1986,85,5,2791-2796,Closed,Article,"Kirtman, Bernard; Dykstra, Clifford E.",,"Kirtman, Bernard (); Dykstra, Clifford E. ()",46,0,,,,https://app.dimensions.ai/details/publication/pub.1058029053,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
177,100,pub.1024950660,10.1002/qua.560290519,,,Accurate local‐space treatment of hydrogen bonding in large systems,International Journal of Quantum Chemistry,,,1986-05,1986,29,5,1209-1222,Closed,Article,"Kirtman, Bernard; Demelo, Celso P.",,"Kirtman, Bernard (University of California, Santa Barbara); Demelo, Celso P. (Federal University of Pernambuco)",12,0,,,,https://app.dimensions.ai/details/publication/pub.1024950660,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
178,100,pub.1043974025,10.1007/bf00529060,,,Factors determining bond angles from a classical valence bond perspective. Covalent structure of H2O,Theoretical Chemistry Accounts,,,1985-11,1985,68,5,407-417,Closed,Article,"Maclagan, Robert G. A. R.; Kirtman, Bernard",,"Maclagan, Robert G. A. R. (University of Canterbury); Kirtman, Bernard (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1043974025,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
179,100,pub.1050690790,10.1016/0009-2614(85)80276-1,,,Calculations of the bending potentials of MgOH and BeOH,Chemical Physics Letters,,,1985-06,1985,117,5,424-426,Closed,Article,"Palke, William E.; Kirtman, Bernard",,"Palke, William E. (University of California, Santa Barbara); Kirtman, Bernard (University of California, Santa Barbara)",19,0,,,,https://app.dimensions.ai/details/publication/pub.1050690790,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
180,200,pub.1048419610,10.1002/kin.550161216,,,"Orbital energy and entropy correlations for disproportionation versus combination in the reactions of CFyH(3−y) radicals (y = 0,1,2,3) with C2H5 radicals. The heat of formation of CHF",International Journal of Chemical Kinetics,,,1984-12,1984,16,12,1637-1643,Closed,Article,"Pritchard, G. O.; Nilsson, W. B.; Kirtman, B.",,"Pritchard, G. O. (University of California, Santa Barbara); Nilsson, W. B. (University of California, Santa Barbara); Kirtman, B. (University of California, Santa Barbara)",7,0,,,,https://app.dimensions.ai/details/publication/pub.1048419610,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
181,100,pub.1020558790,10.1016/0166-1280(83)80019-0,,,Tests of the orbital stasis and orbital following models,Computational and Theoretical Chemistry,,,1983-09,1983,104,2-Jan,207-213,Closed,Article,"Palke, William E.; Kirtman, Bernard",,"Palke, William E. (University of California, Santa Barbara); Kirtman, Bernard (University of California, Santa Barbara)",4,0,,,,https://app.dimensions.ai/details/publication/pub.1020558790,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0307 Theoretical and Computational Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
182,100,pub.1001117045,10.1016/0038-1098(83)90003-0,,,Small chain approximation for the electronic structure of polyacetylene,Solid State Communications,,,1983-06,1983,46,11,791-794,Closed,Article,"Kirtman, Bernard; Nilsson, William B.; Palke, William E.",,"Kirtman, Bernard (University of California, Santa Barbara); Nilsson, William B. (University of California, Santa Barbara); Palke, William E. (University of California, Santa Barbara)",62,0,,,,https://app.dimensions.ai/details/publication/pub.1001117045,0204 Condensed Matter Physics; 0912 Materials Engineering; 02 Physical Sciences; 09 Engineering,0204 Condensed Matter Physics,0912 Materials Engineering,02 Physical Sciences,09 Engineering,
183,200,pub.1030549978,10.1002/chin.198032086,,,ChemInform Abstract: ARE BONDS BENT? TO WHAT EXTENT DO BOND ORBITALS FOLLOW NUCLEAR MOTIONS?,ChemInform,,,8/12/80,1980,11,32,,Closed,Article,"CHIPMAN, D. M.; PALKE, W. E.; KIRTMAN, B.",,"CHIPMAN, D. M. (); PALKE, W. E. (); KIRTMAN, B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1030549978,,,,,,
184,200,pub.1055739798,10.1021/ja00530a013,,,Are bonds bent? To what extent do bond orbitals follow nuclear motions?,Journal of the American Chemical Society,,,1980-05,1980,102,10,3377-3383,Closed,Article,"Chipman, Daniel M.; Palke, William E.; Kirtman, Bernard",,"Chipman, Daniel M. (); Palke, William E. (); Kirtman, Bernard ()",16,0,,,,https://app.dimensions.ai/details/publication/pub.1055739798,03 Chemical Sciences,03 Chemical Sciences,,,,
185,100,pub.1060468481,10.1103/physreva.21.1443,,,Exchange perturbation theory for electron scattering. Elastic scattering from hydrogen atoms,Physical Review A,,,1980-05,1980,21,5,1443-1452,Closed,Article,"Venanzi, Carol A.; Kirtman, Bernard; Chipman, Daniel M.",,"Venanzi, Carol A. (University of California, Santa Barbara); Kirtman, Bernard (University of California, Santa Barbara); Chipman, Daniel M. (University of Notre Dame)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1060468481,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
186,100,pub.1053475079,10.1002/ijch.198000007,,,The Valence Bond Orbital Model as an Interpretive Framework for Understanding Electronic Structure,Israel Journal of Chemistry,,,1980,1980,19,1‐4,82-87,Closed,Article,"Kirtman, Bernard; Palke, William E.; Chipman, Daniel M.",,"Kirtman, Bernard (University of California, Santa Barbara); Palke, William E. (University of California, Santa Barbara); Chipman, Daniel M. (University of Notre Dame)",5,0,,,,https://app.dimensions.ai/details/publication/pub.1053475079,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
187,200,pub.1028031194,10.1002/chin.197848003,,,ChemInform Abstract: VALENCE SHELL ELECTRON PAIR INTERACTIONS IN WATER AND HYDROGEN SULFIDE. A TEST OF THE VALENCE SHELL ELECTRON PAIR REPULSION THEORY,ChemInform,,,11/28/78,1978,9,48,,Closed,Article,"PALKE, W. E.; KIRTMAN, B.",,"PALKE, W. E. (); KIRTMAN, B. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1028031194,,,,,,
188,200,pub.1058012811,10.1063/1.434780,,,"Comment on model potential vs
                    a
                    b
                    i
                    n
                    i
                    t
                    i
                    o
                    anharmonic (cubic) force constants for ethane",The Journal of Chemical Physics,,,12/15/77,1977,67,12,5980-5981,Closed,Article,"Kirtman, Bernard; Palke, William E.",,"Kirtman, Bernard (); Palke, William E. ()",4,0,,,,https://app.dimensions.ai/details/publication/pub.1058012811,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
189,200,pub.1058013031,10.1063/1.435000,,,"Calculation of the magnetic susceptibility of H
                    2
                    by the distinguishable electron method",The Journal of Chemical Physics,,,8/15/77,1977,67,4,1676-1683,Closed,Article,"Pflug, Donald R.; Palke, William E.; Kirtman, Bernard",,"Pflug, Donald R. (); Palke, William E. (); Kirtman, Bernard ()",2,1,,,,https://app.dimensions.ai/details/publication/pub.1058013031,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
190,200,pub.1016402247,10.1002/chin.197722002,,,ChemInform Abstract: ORBITAL HYBRIDIZATION,ChemInform,,,5/31/77,1977,8,22,no-no,Closed,Article,"KIRTMAN, B.; CHIPMAN, D. M.; PALKE, W. E.",,"KIRTMAN, B. (); CHIPMAN, D. M. (); PALKE, W. E. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1016402247,,,,,,
191,200,pub.1055733223,10.1021/ja00447a003,,,Orbital hybridization,Journal of the American Chemical Society,,,1977-03,1977,99,5,1305-1307,Closed,Article,"Kirtman, Bernard; Chipman, Daniel M.; Palke, William E.",,"Kirtman, Bernard (); Chipman, Daniel M. (); Palke, William E. ()",10,1,,,,https://app.dimensions.ai/details/publication/pub.1055733223,03 Chemical Sciences,03 Chemical Sciences,,,,
192,200,pub.1058013142,10.1063/1.435111,,,Calculation of sum rule properties for H2O,The Journal of Chemical Physics,,,1977,1977,67,5,2236,Closed,Article,"Chipman, Daniel M.; Kirtman, Bernard; Palke, William E.",,"Chipman, Daniel M. (); Kirtman, Bernard (); Palke, William E. ()",7,0,,,,https://app.dimensions.ai/details/publication/pub.1058013142,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
193,200,pub.1058011472,10.1063/1.433441,,,The perfect‐pairing valence bond model for the water molecule,The Journal of Chemical Physics,,,1976-10,1976,65,7,2556-2561,Closed,Article,"Chipman, Daniel M.; Kirtman, Bernard; Palke, William E.",,"Chipman, Daniel M. (); Kirtman, Bernard (); Palke, William E. ()",12,0,,,,https://app.dimensions.ai/details/publication/pub.1058011472,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
194,200,pub.1058010504,10.1063/1.432472,,,Effect of vibrations on the internal rotation barrier in ethane,The Journal of Chemical Physics,,,1976-03,1976,64,5,1883-1890,Closed,Article,"Kirtman, Bernard; Palke, William E.; Ewig, Carl S.",,"Kirtman, Bernard (); Palke, William E. (); Ewig, Carl S. ()",40,0,,,,https://app.dimensions.ai/details/publication/pub.1058010504,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
195,100,pub.1001536086,10.1016/0009-2614(74)80423-9,,,Accurate “doubly-occupied orbital sea” approximation for the many-electron valence bond wavefunction,Chemical Physics Letters,,,1974-06,1974,26,4,593-595,Closed,Article,"Kirtman, Bernard; Chipman, Daniel M.",,"Kirtman, Bernard (University of California, Santa Barbara); Chipman, Daniel M. (University of California, Santa Barbara)",3,0,,,,https://app.dimensions.ai/details/publication/pub.1001536086,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
196,200,pub.1057757521,10.1063/1.1681438,,,"Dependence of the CH
                    3
                    SiH
                    3
                    barrier to internal rotation on vibrational coordinates: Testing of models and effect of vibrations on the observed barrier height",The Journal of Chemical Physics,,,1974-04,1974,60,7,2749-2758,Closed,Article,"Ewig, Carl S.; Palke, William E.; Kirtman, Bernard",,"Ewig, Carl S. (); Palke, William E. (); Kirtman, Bernard ()",17,0,,,,https://app.dimensions.ai/details/publication/pub.1057757521,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
197,100,pub.1060506214,10.1103/physreva.8.296,,,Variation-Perturbation Treatment of Scattering Problems. II. Inelastic and Rearrangement Processes,Physical Review A,,,1973-07,1973,8,1,296-303,Closed,Article,"Knudson, Stephen K.; Kirtman, Bernard",,"Knudson, Stephen K. (Queen's University); Kirtman, Bernard (University of California, Santa Barbara)",2,0,,,,https://app.dimensions.ai/details/publication/pub.1060506214,0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,,
198,100,pub.1045210124,10.1016/0301-0104(73)80050-3,,,Extended average energy perturbation calculation of the 2s2 and 2p2 1S resonance state energies of two-electron atoms,Chemical Physics,,,1973-07,1973,1,4,362-370,Closed,Article,"Eliezer, I.; Moualem, A.; Kirtman, Bernard",,"Eliezer, I. (Tel Aviv University); Moualem, A. (Tel Aviv University); Kirtman, Bernard (University of California, Santa Barbara)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1045210124,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
199,100,pub.1060472507,10.1103/physreva.3.972,,,Variation-Perturbation Treatment of Scattering Problems. I. Potential Scattering by a Central Field,Physical Review A,,,1971-03,1971,3,3,972-978,Closed,Article,"Knudson, Stephen K.; Kirtman, Bernard",,"Knudson, Stephen K. (University of California, Santa Barbara); Kirtman, Bernard (University of California, Santa Barbara)",9,0,,,,https://app.dimensions.ai/details/publication/pub.1060472507,0103 Numerical and Computational Mathematics; 01 Mathematical Sciences,0103 Numerical and Computational Mathematics,01 Mathematical Sciences,,,
200,200,pub.1057746057,10.1063/1.1669586,,,Variation–Perturbation Treatment of Electron Correlation in Molecules. I. Bare Nucleus Model for H2,The Journal of Chemical Physics,,,4/1/68,1968,48,7,3133-3139,Closed,Article,"Kirtman, Bernard; Decious, Daniel R.",,"Kirtman, Bernard (University of California, Santa Barbara); Decious, Daniel R. (Johns Hopkins University)",9,0,,,,https://app.dimensions.ai/details/publication/pub.1057746057,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
201,100,pub.1050961156,10.1016/0009-2614(68)80101-0,,,The distinguishable electron method for electronic structure calculations,Chemical Physics Letters,,,1968-04,1968,1,13,631-634,Closed,Article,"Kirtman, Bernard",,"Kirtman, Bernard (University of California, Santa Barbara)",17,0,,,,https://app.dimensions.ai/details/publication/pub.1050961156,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
202,200,pub.1057826324,10.1063/1.1840673,,,Minimized Upper Bound in Variation—Perturbation Energy Calculations,The Journal of Chemical Physics,,,6/15/67,1967,46,12,4990-4991,Closed,Article,"Kirtman, Bernard; Decious, Daniel R.",,"Kirtman, Bernard (); Decious, Daniel R. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1057826324,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
203,200,pub.1055683348,10.1021/j100865a077,,,"The elimination of hydrogen fluoride from vibrationally excited 1,1,2-trifluorethane",The Journal of Physical Chemistry,,,1967-05,1967,71,6,1960-1961,Closed,Article,"Bryant, James T.; Kirtman, Bernard; Pritchard, Glyn O.",,"Bryant, James T. (); Kirtman, Bernard (); Pritchard, Glyn O. ()",6,0,,,,https://app.dimensions.ai/details/publication/pub.1055683348,,,,,,
204,200,pub.1057793307,10.1063/1.1726764,,,Variation—Perturbation Treatment of Electron Correlation in Molecules,The Journal of Chemical Physics,,,1/15/66,1966,44,2,830-831,Closed,Article,"Kirtman, Bernard; Decious, Daniel R.",,"Kirtman, Bernard (); Decious, Daniel R. ()",13,0,,,,https://app.dimensions.ai/details/publication/pub.1057793307,09 Engineering; 02 Physical Sciences; 03 Chemical Sciences,09 Engineering,02 Physical Sciences,03 Chemical Sciences,,
